trial_id,condition,stimulus,sentence_extraction,comprehension_probe,probe_clause,response,accuracy,rt,participant_id,handedness,gender,first_language,age,country_of_residence
15,congruent,"['The', 'sailor', 'that', 'pushed', 'the', 'banker', 'hurt his', 'foot', 'in the', 'brawl']",subject,The banker hurt his foot?,main_clause,n,1,1.9912694710001233,001,right,female,english,26,Australia
16,incongruent,"['The', 'rod', 'that the', 'pipe', 'bent', 'had', 'a', 'hole', 'in', 'the', 'middle']",object,The rod had a hole?,main_clause,n,0,2.392474599000707,001,right,female,english,26,Australia
17,other,"['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']",assorted,The couple bought some apples?,other,y,1,1.089397296000243,001,right,female,english,26,Australia
18,other,"['The', 'hat', 'that was', 'worn', 'by the', 'boy', 'with a', 'jacket', 'was too', 'small', 'for the', 'man']",assorted,The jacket was too small?,other,y,0,1.6409057849996316,001,right,female,english,26,Australia
19,other,"['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']",assorted,The coffee was before dessert?,other,n,1,1.5410453120002785,001,right,female,english,26,Australia
20,congruent,"['The', 'knight', 'that the', 'king', 'helped', 'sent', 'a', 'gift', 'from', 'his', 'castle']",object,The knight helped the king?,relative_clause,y,0,3.462523300000612,001,right,female,english,26,Australia
21,incongruent,"['The', 'groom', 'that', 'charmed', 'the', 'aunt', 'raised a', 'toast', 'to the', 'parents']",subject,The groom charmed the aunt?,relative_clause,n,0,1.5070771780010546,001,right,female,english,26,Australia
22,congruent,"['The', 'nurse', 'that the', 'coach', 'blamed', 'checked', 'the', 'file', 'of', 'the', 'gymnast']",object,The coach checked the file?,main_clause,y,0,1.97207981199972,001,right,female,english,26,Australia
23,incongruent,"['The', 'bum', 'that', 'scared', 'the', 'cop', 'crossed the', 'street', 'at the', 'light']",subject,The bum scared the cop?,relative_clause,y,1,1.0058556290005072,001,right,female,english,26,Australia
24,other,"['The', 'job', 'that was', 'given', 'was', 'different', 'to', 'what', 'she', 'expected']",assorted,The job was as expected?,other,n,1,1.4066734080006429,001,right,female,english,26,Australia
25,other,"['The', 'book', 'that the', 'lady', 'with a', 'tattoo', 'had', 'written', 'was her', 'best', 'book', 'yet']",assorted,The man wrote a book?,other,n,1,1.155120026998702,001,right,female,english,26,Australia
26,other,"['The', 'boy', 'who', 'had', 'a', 'birthday', 'called', 'his', 'best', 'friend', 'for a', 'chat']",assorted,The friend called the boy?,other,y,0,1.5401511060008488,001,right,female,english,26,Australia
27,other,"['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']",assorted,The car was new?,other,y,1,1.607362724000268,001,right,female,english,26,Australia
28,congruent,"['The', 'girl', 'that the', 'nerd', 'thanked', 'broke', 'the', 'vase', 'with', 'the', 'flowers']",object,The girl broke the vase?,main_clause,y,1,3.144793702998868,001,right,female,english,26,Australia
29,other,"['The', 'piano', 'was well', 'played', 'by', 'the', 'old', 'lady', 'but', 'it', 'was', 'not', 'in', 'tune']",assorted,The piano was well played?,other,y,1,1.9584280569997643,001,right,female,english,26,Australia
30,incongruent,"['The', 'boat', 'that', 'chased', 'the', 'yacht', 'made a', 'turn', 'at the', 'boathouse']",subject,The yacht made a turn?,main_clause,y,0,2.1259672320011305,001,right,female,english,26,Australia
31,other,"['The', 'girl', 'on', 'the', 'school', 'trip', 'saw a', 'frog', 'and', 'later', 'she', 'saw', 'a', 'mouse']",assorted,The girl saw a frog?,other,y,1,1.8245354789996784,001,right,female,english,26,Australia
32,incongruent,"['The', 'tradie', 'that the', 'man', 'thanked', 'left', 'his', 'wallet', 'in', 'the', 'car']",object,The man left his wallet?,main_clause,n,1,2.2425547360016935,001,right,female,english,26,Australia
33,congruent,"['The', 'king', 'that', 'pleased', 'the', 'guest', 'poured the', 'wine', 'from the', 'jug']",subject,The king pleased the guest?,relative_clause,y,1,1.9229160369995952,001,right,female,english,26,Australia
34,congruent,"['The', 'cop', 'that the', 'spy', 'met', 'wrote', 'a', 'book', 'about', 'the', 'case']",object,The spy wrote a book?,main_clause,n,1,1.691165969999929,001,right,female,english,26,Australia
35,other,"['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']",assorted,The cat caught the bird?,other,n,1,1.9083050850003929,001,right,female,english,26,Australia
36,congruent,"['The', 'fox', 'that the', 'wolf', 'chased', 'hurt', 'its', 'paws', 'on', 'the', 'way']",object,The wolf chased the fox?,relative_clause,y,1,1.738927607999358,001,right,female,english,26,Australia
37,incongruent,"['The', 'car', 'that the', 'truck', 'pulled', 'had', 'a', 'scratch', 'on', 'the', 'door']",object,The truck pulled the car?,relative_clause,y,1,1.1568316140001116,001,right,female,english,26,Australia
38,incongruent,"['The', 'boss', 'that the', 'clerk', 'mocked', 'had', 'a', 'crush', 'on', 'the', 'intern']",object,The clerk had a crush?,main_clause,n,1,1.105062900998746,001,right,female,english,26,Australia
39,incongruent,"['The', 'guy', 'that', 'thanked', 'the', 'judge', 'left the', 'room', 'with a', 'smile']",subject,The judge left the room?,main_clause,n,1,0.9723888070002432,001,right,female,english,26,Australia
40,incongruent,"['The', 'dean', 'that the', 'guard', 'heard', 'made', 'a', 'call', 'about', 'the', 'matter']",object,The dean made a call?,main_clause,y,1,1.9918057169998065,001,right,female,english,26,Australia
41,other,"['The', 'colour', 'of the', 'house', 'was', 'brighter', 'than the', 'men', 'who travelled', 'expected']",assorted,The men were colourfully dressed?,other,n,1,1.6239080099985586,001,right,female,english,26,Australia
42,incongruent,"['The', 'fruit', 'that the', 'cake', 'squashed', 'made', 'a', 'mess', 'in', 'the', 'bag']",object,The fruit made a mess?,main_clause,n,0,1.8911824930000876,001,right,female,english,26,Australia
43,congruent,"['The', 'bug', 'that the', 'ant', 'attacked', 'was', 'as', 'big', 'as', 'a', 'coin']",object,The ant attacked the bug?,relative_clause,y,1,1.2224953150016518,001,right,female,english,26,Australia
44,other,"['The', 'fish', 'was', 'caught', 'by the', 'girl', 'on the', 'boat', 'on a', 'Friday']",assorted,The fish was caught by the boy?,other,n,1,1.1564886779997323,001,right,female,english,26,Australia
45,congruent,"['The', 'count', 'that', 'knew', 'the', 'queen', 'owned a', 'castle', 'by the', 'lake']",subject,The count knew the queen?,relative_clause,y,1,2.0087710400002834,001,right,female,english,26,Australia
46,other,"['The', 'box', 'was', 'made', 'from', 'wood', 'and was', 'full', 'of', 'things', 'that', 'shined']",assorted,The box was shiny?,other,n,1,1.5899833519997628,001,right,female,english,26,Australia
47,incongruent,"['The', 'thug', 'that', 'saw', 'the', 'man', 'had a', 'hat', 'on his', 'head']",subject,The thug had a hat on his head?,main_clause,y,1,1.272900944999492,001,right,female,english,26,Australia
48,incongruent,"['The', 'cat', 'that the', 'dog', 'fought', 'licked', 'its', 'wounds', 'in', 'the', 'corner']",object,The cat fought the dog?,relative_clause,n,1,3.1780524169989803,001,right,female,english,26,Australia
49,congruent,"['The', 'boy', 'that the', 'girl', 'helped', 'got', 'an', 'A', 'on', 'the', 'test']",object,The boy got an A?,main_clause,y,1,1.1397082160001446,001,right,female,english,26,Australia
50,congruent,"['The', 'guest', 'that', 'kissed', 'the', 'host', 'brought a', 'cake', 'to the', 'party']",subject,The guest brought a cake?,main_clause,d,0,1.7217050449999078,001,right,female,english,26,Australia
51,congruent,"['The', 'cook', 'that the', 'maid', 'hugged', 'had', 'a', 'tear', 'on', 'her', 'cheek']",object,The cook hugged the maid?,relative_clause,n,1,1.774184616000639,001,right,female,english,26,Australia
52,congruent,"['The', 'clerk', 'that the', 'boss', 'liked', 'had', 'a', 'desk', 'by', 'the', 'window']",object,The clerk liked the boss?,relative_clause,n,1,2.4932684510004037,001,right,female,english,26,Australia
53,other,"['The', 'girl', 'kicked the', 'ball', 'into the', 'window', 'but it', 'did', 'not', 'break']",assorted,The girl kicked the ball?,other,y,1,0.9716894749999484,001,right,female,english,26,Australia
54,other,"['The', 'bike', 'that was', 'yellow', 'and', 'shiny', 'belonged', 'to', 'the', 'boy', 'with the', 'hat']",assorted,The bike was shiny?,other,y,1,1.2564897410011326,001,right,female,english,26,Australia
55,congruent,"['The', 'thief', 'that', 'saw', 'the', 'guard', 'had a', 'gun', 'in his', 'holster']",subject,The guard saw the thief?,relative_clause,y,0,2.5757360299994616,001,right,female,english,26,Australia
56,other,"['The', 'man', 'who was', 'short', 'gave his', 'wife', 'some red', 'candles', 'for her', 'birthday']",assorted,The man was short?,other,y,1,1.5236554660004913,001,right,female,english,26,Australia
57,other,"['The', 'desk', 'was', 'new', 'but', 'dusty', 'and', 'covered', 'with old', 'books']",assorted,The desk was old?,other,y,0,0.8044213590001164,001,right,female,english,26,Australia
58,congruent,"['The', 'bloke', 'that', 'helped', 'the', 'mum', 'gave a', 'gift', 'to say', 'thanks']",subject,The mum helped the bloke?,relative_clause,y,0,2.1921008310000616,001,right,female,english,26,Australia
59,incongruent,"['The', 'whale', 'that', 'bit', 'the', 'shark', 'won the', 'fight', 'in the', 'end']",subject,The whale won the fight?,main_clause,y,1,1.223031350000383,001,right,female,english,26,Australia
60,incongruent,"['The', 'dean', 'that the', 'boy', 'called', 'had', 'a', 'voice', 'full', 'of', 'anger']",object,The boy called the dean?,relative_clause,y,1,1.1891410749994975,001,right,female,english,26,Australia
61,congruent,"['The', 'shelf', 'that', 'bumped', 'the', 'piano', 'had some', 'dust', 'on its', 'top']",subject,The shelf bumped the piano?,relative_clause,y,1,1.6234794720003265,001,right,female,english,26,Australia
62,other,"['The', 'dog', 'that', 'barked', 'is very', 'big', 'and very', 'friendly', 'but', 'doesn’t', 'like', 'cats']",assorted,The dog is very fluffy?,other,n,1,1.2708677139999054,001,right,female,english,26,Australia
63,congruent,"['The', 'dancer', 'that the', 'guy', 'liked', 'was', 'a', 'chef', 'in', 'the', 'city']",object,The dancer was a chef?,main_clause,y,1,1.323101558999042,001,right,female,english,26,Australia
64,congruent,"['The', 'chief', 'that', 'thanked', 'the', 'girl', 'was too', 'late', 'for the', 'bus']",subject,The chief was too late?,main_clause,y,1,1.523844287001339,001,right,female,english,26,Australia
65,congruent,"['The', 'truck', 'that the', 'car', 'bumped', 'had', 'a', 'man', 'at', 'the', 'wheel']",object,The car bumped the truck?,relative_clause,y,1,1.7239205930000026,001,right,female,english,26,Australia
66,congruent,"['The', 'hat', 'that', 'matched', 'the', 'skirt', 'had a', 'bow', 'in the', 'back']",subject,The skirt had a bow?,main_clause,n,1,2.275874056998873,001,right,female,english,26,Australia
67,other,"['The', 'boss', 'was', 'happy', 'to', 'see', 'the', 'work', 'that', 'the', 'two', 'girls', 'had', 'done']",assorted,The girls were happy?,other,n,1,1.1227100629985216,001,right,female,english,26,Australia
68,incongruent,"['The', 'owl', 'that', 'scared', 'the', 'bat', 'made a', 'loop', 'in the', 'air']",subject,The bat scared the owl?,relative_clause,n,1,1.556925548999061,001,right,female,english,26,Australia
69,other,"['The', 'ring', 'that', 'was', 'sadly', 'lost', 'was', 'found', 'by the', 'fat', 'and', 'very', 'happy', 'priest']",assorted,The priest found the ring?,other,y,1,1.088926234999235,001,right,female,english,26,Australia
70,incongruent,"['The', 'scout', 'that', 'punched', 'the', 'coach', 'had a', 'fight', 'with a', 'manager']",subject,The coach had a fight?,main_clause,n,1,1.7557325699999635,001,right,female,english,26,Australia
71,incongruent,"['The', 'priest', 'that the', 'nun', 'thanked', 'left', 'the', 'church', 'in', 'a', 'hurry']",object,The priest thanked the nun?,relative_clause,y,0,1.5898243930005265,001,right,female,english,26,Australia
72,other,"['The', 'concert', 'started', 'later', 'than', 'what', 'the', 'lady', 'told the', 'traveler']",assorted,The concert started later than the travellers expected?,other,y,1,3.479240034999748,001,right,female,english,26,Australia
73,congruent,"['The', 'desk', 'that', 'scratched', 'the', 'bed', 'was too', 'old', 'to be', 'moved']",subject,The bed scratched the desk?,relative_clause,y,0,2.3757459859989467,001,right,female,english,26,Australia
1,incongruent,"['The', 'boy', 'that', 'helped', 'the', 'girl', 'got an', 'A', 'on the', 'test']",subject,The girl helped the boy?,relative_clause,y,0,5.735363747997326,002,Right,male,English,26,Australia
2,incongruent,"['The', 'cook', 'that the', 'maid', 'hugged', 'had', 'a', 'tear', 'on', 'her', 'cheek']",object,The cook had a son?,main_clause,n,0,1.7743655480007874,002,Right,male,English,26,Australia
3,other,"['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']",assorted,The car was old?,other,n,1,1.8751867750106612,002,Right,male,English,26,Australia
4,congruent,"['The', 'sailor', 'that', 'pushed', 'the', 'banker', 'hurt his', 'foot', 'in the', 'brawl']",subject,The banker pushed the sailor?,relative_clause,n,1,2.476362432993483,002,Right,male,English,26,Australia
5,other,"['The', 'girl', 'kicked the', 'ball', 'into the', 'window', 'but it', 'did', 'not', 'break']",assorted,The girl broke the window?,other,n,1,1.805422951001674,002,Right,male,English,26,Australia
6,incongruent,"['The', 'tradie', 'that', 'thanked', 'the', 'man', 'left his', 'wallet', 'in the', 'car']",subject,The man left his wallet?,main_clause,n,1,2.8112782320094993,002,Right,male,English,26,Australia
7,congruent,"['The', 'prince', 'that', 'helped', 'the', 'girl', 'had a', 'head', 'of blonde', 'hair']",subject,The prince had blonde hair?,main_clause,y,1,3.2950946150085656,002,Right,male,English,26,Australia
8,congruent,"['The', 'kid', 'that the', 'dad', 'followed', 'had', 'some', 'mud', 'on', 'his', 'shoes']",object,The kid followed the dad?,relative_clause,n,1,3.2786807480006246,002,Right,male,English,26,Australia
9,other,"['The', 'piano', 'was well', 'played', 'by', 'the', 'old', 'lady', 'but', 'it', 'was', 'not', 'in', 'tune']",assorted,The piano was badly played?,other,n,1,1.540547622993472,002,Right,male,English,26,Australia
10,congruent,"['The', 'owl', 'that', 'scared', 'the', 'bat', 'made a', 'loop', 'in the', 'air']",subject,The bat made a loop?,main_clause,n,1,2.090197308003553,002,Right,male,English,26,Australia
11,other,"['The', 'girl', 'on', 'the', 'school', 'trip', 'saw a', 'frog', 'and', 'later', 'she', 'saw', 'a', 'mouse']",assorted,The girl saw a mouse first?,other,n,1,1.323816057993099,002,Right,male,English,26,Australia
12,incongruent,"['The', 'truck', 'that', 'bumped', 'the', 'car', 'had a', 'man', 'at the', 'wheel']",subject,The truck bumped the car?,relative_clause,y,1,2.2769922860024963,002,Right,male,English,26,Australia
13,incongruent,"['The', 'girl', 'that', 'pushed', 'the', 'nerd', 'broke the', 'vase', 'with the', 'flowers']",subject,The nerd broke the vase?,main_clause,n,1,2.409151297993958,002,Right,male,English,26,Australia
14,other,"['The', 'desk', 'was', 'new', 'but', 'dusty', 'and', 'covered', 'with old', 'books']",assorted,The desk was new?,other,y,1,1.524518710008124,002,Right,male,English,26,Australia
15,incongruent,"['The', 'whale', 'that the', 'shark', 'bit', 'won', 'the', 'fight', 'in', 'the', 'end']",object,The shark won the fight?,main_clause,n,1,1.9404379879997575,002,Right,male,English,26,Australia
16,congruent,"['The', 'thief', 'that the', 'guard', 'saw', 'had', 'a', 'gun', 'in', 'his', 'holster']",object,The guard saw the thief?,relative_clause,y,1,2.1750432739936514,002,Right,male,English,26,Australia
17,incongruent,"['The', 'crook', 'that', 'warned', 'the', 'thief', 'fled the', 'town', 'the next', 'morning']",subject,The crook warned the thief?,relative_clause,y,1,2.025829534002696,002,Right,male,English,26,Australia
18,other,"['The', 'concert', 'started', 'later', 'than', 'what', 'the', 'lady', 'told the', 'traveler']",assorted,The concert started early?,other,n,1,2.07469682500232,002,Right,male,English,26,Australia
19,incongruent,"['The', 'knight', 'that', 'helped', 'the', 'king', 'sent a', 'gift', 'from his', 'castle']",subject,The knight sent a gift?,main_clause,y,1,1.9248952799971448,002,Right,male,English,26,Australia
20,incongruent,"['The', 'bloke', 'that the', 'mum', 'helped', 'gave', 'a', 'gift', 'to', 'say', 'thanks']",object,The mum gave a gift?,main_clause,n,1,1.574655840988271,002,Right,male,English,26,Australia
21,other,"['The', 'ring', 'that', 'was', 'sadly', 'lost', 'was', 'found', 'by the', 'fat', 'and', 'very', 'happy', 'priest']",assorted,The priest found the ring?,other,y,1,3.72992455799249,002,Right,male,English,26,Australia
22,congruent,"['The', 'bum', 'that the', 'cop', 'scared', 'crossed', 'the', 'street', 'at', 'the', 'light']",object,The cop scared the bum?,relative_clause,y,1,1.8887800670054276,002,Right,male,English,26,Australia
23,congruent,"['The', 'boss', 'that', 'mocked', 'the', 'clerk', 'had a', 'crush', 'on the', 'intern']",subject,The boss mocked the clerk?,relative_clause,y,1,1.457239365001442,002,Right,male,English,26,Australia
24,incongruent,"['The', 'bug', 'that', 'attacked', 'the', 'ant', 'was as', 'big', 'as a', 'coin']",subject,The ant attacked the bug?,relative_clause,n,1,1.7403960439987711,002,Right,male,English,26,Australia
25,other,"['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']",assorted,The cat caught the bird?,other,n,1,2.024057079004706,002,Right,male,English,26,Australia
26,congruent,"['The', 'fruit', 'that the', 'cake', 'squashed', 'made', 'a', 'mess', 'in', 'the', 'bag']",object,The cake made a mess?,main_clause,n,1,1.8083356990100583,002,Right,male,English,26,Australia
27,other,"['The', 'hat', 'that was', 'worn', 'by the', 'boy', 'with a', 'jacket', 'was too', 'small', 'for the', 'man']",assorted,The hat was too small?,other,y,1,1.9080581460002577,002,Right,male,English,26,Australia
28,other,"['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']",assorted,The coffee was before dessert?,other,n,1,2.4757198250008514,002,Right,male,English,26,Australia
29,other,"['The', 'boss', 'was', 'happy', 'to', 'see', 'the', 'work', 'that', 'the', 'two', 'girls', 'had', 'done']",assorted,The boss was happy?,other,y,1,1.1223994199972367,002,Right,male,English,26,Australia
30,congruent,"['The', 'dad', 'that the', 'chef', 'knew', 'had', 'a', 'son', 'with', 'a', 'limp']",object,The chef had a son?,main_clause,n,1,1.9069275849906264,002,Right,male,English,26,Australia
31,other,"['The', 'fish', 'was', 'caught', 'by the', 'girl', 'on the', 'boat', 'on a', 'Friday']",assorted,The fish was caught by the boy?,other,n,1,1.5078250340011436,002,Right,male,English,26,Australia
32,congruent,"['The', 'desk', 'that', 'scratched', 'the', 'bed', 'was too', 'old', 'to be', 'moved']",subject,The desk was too old?,main_clause,y,1,2.0749802950012963,002,Right,male,English,26,Australia
33,congruent,"['The', 'dancer', 'that the', 'guy', 'liked', 'was', 'a', 'chef', 'in', 'the', 'city']",object,The dancer liked the guy?,relative_clause,n,1,2.225427329001832,002,Right,male,English,26,Australia
34,incongruent,"['The', 'king', 'that the', 'guest', 'pleased', 'poured', 'the', 'wine', 'from', 'the', 'jug']",object,The king pleased the guest?,relative_clause,y,0,5.197866618007538,002,Right,male,English,26,Australia
35,incongruent,"['The', 'dean', 'that the', 'guard', 'heard', 'made', 'a', 'call', 'about', 'the', 'matter']",object,The guard made a call?,main_clause,n,1,1.573600160991191,002,Right,male,English,26,Australia
36,congruent,"['The', 'thug', 'that', 'saw', 'the', 'man', 'had a', 'hat', 'on his', 'head']",subject,The thug saw the man?,relative_clause,y,1,1.4737844140036032,002,Right,male,English,26,Australia
37,congruent,"['The', 'priest', 'that', 'thanked', 'the', 'nun', 'left the', 'church', 'in a', 'hurry']",subject,The priest left the church?,main_clause,y,1,1.1556823079881724,002,Right,male,English,26,Australia
38,other,"['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']",assorted,The wine was bad?,other,n,1,2.008291518999613,002,Right,male,English,26,Australia
39,incongruent,"['The', 'rod', 'that the', 'pipe', 'bent', 'had', 'a', 'hole', 'in', 'the', 'middle']",object,The rod had a hole?,main_clause,y,1,1.2059850730001926,002,Right,male,English,26,Australia
40,congruent,"['The', 'scout', 'that the', 'coach', 'punched', 'had', 'a', 'fight', 'with', 'a', 'manager']",object,The coach had a fight?,main_clause,n,1,1.1558506750006927,002,Right,male,English,26,Australia
41,incongruent,"['The', 'niece', 'that the', 'aunt', 'kissed', 'sang', 'a', 'song', 'for', 'the', 'guests']",object,The aunt kissed the niece?,relative_clause,y,1,2.058594135000021,002,Right,male,English,26,Australia
42,other,"['The', 'book', 'that the', 'lady', 'with a', 'tattoo', 'had', 'written', 'was her', 'best', 'book', 'yet']",assorted,The lady wrote a book?,other,y,1,2.526294706010958,002,Right,male,English,26,Australia
43,congruent,"['The', 'priest', 'that', 'paid', 'the', 'cook', 'signed the', 'check', 'at the', 'bank']",subject,The priest paid the cook?,relative_clause,y,1,2.309430732988403,002,Right,male,English,26,Australia
44,congruent,"['The', 'man', 'that', 'phoned', 'the', 'nurse', 'left his', 'pills', 'at the', 'office']",subject,The nurse left the pills?,main_clause,n,1,1.3396546610019868,002,Right,male,English,26,Australia
45,other,"['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']",assorted,The couple bought some apples?,other,y,1,1.691318035009317,002,Right,male,English,26,Australia
46,incongruent,"['The', 'clerk', 'that', 'liked', 'the', 'boss', 'had a', 'desk', 'by the', 'window']",subject,The clerk liked the boss?,relative_clause,y,1,1.841072348994203,002,Right,male,English,26,Australia
47,congruent,"['The', 'groom', 'that the', 'aunt', 'charmed', 'raised', 'a', 'toast', 'to', 'the', 'parents']",object,The aunt charmed the groom?,relative_clause,y,1,1.6068507509917254,002,Right,male,English,26,Australia
48,other,"['The', 'dog', 'that', 'barked', 'is very', 'big', 'and very', 'friendly', 'but', 'doesn’t', 'like', 'cats']",assorted,The dog is very big?,other,y,1,1.2888257520098705,002,Right,male,English,26,Australia
49,congruent,"['The', 'car', 'that', 'pulled', 'the', 'truck', 'had a', 'scratch', 'on the', 'door']",subject,The truck pulled the car?,relative_clause,n,1,1.623722567994264,002,Right,male,English,26,Australia
50,congruent,"['The', 'guest', 'that the', 'host', 'kissed', 'brought', 'a', 'cake', 'to', 'the', 'party']",object,The guest kissed the host?,relative_clause,y,0,3.4293631269974867,002,Right,male,English,26,Australia
51,other,"['The', 'job', 'that was', 'given', 'was', 'different', 'to', 'what', 'she', 'expected']",assorted,The job was as expected?,other,n,1,1.74096425800235,002,Right,male,English,26,Australia
52,congruent,"['The', 'hat', 'that the', 'skirt', 'matched', 'had', 'a', 'bow', 'in', 'the', 'back']",object,The hat had a bow?,main_clause,y,1,1.9075463059998583,002,Right,male,English,26,Australia
53,incongruent,"['The', 'cat', 'that the', 'dog', 'fought', 'licked', 'its', 'wounds', 'in', 'the', 'corner']",object,The dog fought the cat?,relative_clause,y,1,2.0927312540006824,002,Right,male,English,26,Australia
54,incongruent,"['The', 'chief', 'that', 'thanked', 'the', 'girl', 'was too', 'late', 'for the', 'bus']",subject,The girl thanked the chief?,relative_clause,n,1,1.8239772529923357,002,Right,male,English,26,Australia
55,incongruent,"['The', 'boat', 'that', 'chased', 'the', 'yacht', 'made a', 'turn', 'at the', 'boathouse']",subject,The boat made a turn?,main_clause,y,1,1.889037917004316,002,Right,male,English,26,Australia
56,congruent,"['The', 'cop', 'that', 'met', 'the', 'spy', 'wrote a', 'book', 'about the', 'case']",subject,The spy met the cop?,relative_clause,n,1,2.024638287999551,002,Right,male,English,26,Australia
57,incongruent,"['The', 'guy', 'that the', 'judge', 'thanked', 'left', 'the', 'room', 'with', 'a', 'smile']",object,The guy thanked the judge?,relative_clause,n,1,2.811325009999564,002,Right,male,English,26,Australia
58,incongruent,"['The', 'friend', 'that the', 'bride', 'teased', 'told', 'a', 'joke', 'about', 'the', 'past']",object,The friend told a joke?,main_clause,y,1,2.6270530379988486,002,Right,male,English,26,Australia
59,other,"['The', 'bike', 'that was', 'yellow', 'and', 'shiny', 'belonged', 'to', 'the', 'boy', 'with the', 'hat']",assorted,The bike was red?,other,n,1,1.2543902780016651,002,Right,male,English,26,Australia
60,congruent,"['The', 'nun', 'that the', 'monk', 'blessed', 'lit', 'a', 'candle', 'on', 'the', 'table']",object,The nun lit a candle?,main_clause,y,1,1.1364255490043431,002,Right,male,English,26,Australia
61,other,"['The', 'box', 'was', 'made', 'from', 'wood', 'and was', 'full', 'of', 'things', 'that', 'shined']",assorted,The box was full of things?,other,y,1,1.657984714009217,002,Right,male,English,26,Australia
62,other,"['The', 'girl', 'and the', 'boy', 'that', 'owned', 'the', 'horse', 'had', 'mud', 'on their', 'clothes']",assorted,The boy and girl own a horse?,other,y,1,1.8076441020093623,002,Right,male,English,26,Australia
63,other,"['The', 'boy', 'who', 'had', 'a', 'birthday', 'called', 'his', 'best', 'friend', 'for a', 'chat']",assorted,The boy called his best friend?,other,y,1,1.3731786720018135,002,Right,male,English,26,Australia
