"workerid","age","gender","item","sentence","rating"
"P1",22,"Female","plum_job","She later landed a PLUM JOB at the prestigious Library of Congress.",-2
"P1",22,"Female","bright_side","Since the general public abhors violence, the BRIGHT SIDE is that they will be able to see the truth.",0
"P1",22,"Female","open_mind","He has an OPEN MIND about what people have to say.",-3
"P1",22,"Female","magic_bullet","People believe that the adaptive textbook is the MAGIC BULLET of educational technology.",0
"P1",22,"Female","lone_wolf","Chris considers himself a LONE WOLF because he is very independent.",-3
"P1",22,"Female","black_humour","The BLACK HUMOUR wore out the audiences over time.",-3
"P1",22,"Female","rough_day","Monday is always a ROUGH DAY at school.",-3
"P1",22,"Female","arm_candy","She was his ARM CANDY at so many cocktail parties.",0
"P1",22,"Female","dead_metaphor","The word ""pedigree"" is a DEAD METAPHOR that no one remembers.",-3
"P1",22,"Female","rabbit_hole","It is very difficult to read papers without falling into a RABBIT HOLE.",0
"P1",22,"Female","mother_lode","He believes he has hit the MOTHER LODE.",0
"P1",22,"Female","mermaid_dress","A MERMAID DRESS is the best option for those who want to show off their curves.",-3
"P1",22,"Female","flaky_idea","Since he always has FLAKY IDEAS, it's best not to listen to him.",-3
"P1",22,"Female","pool_noodle","Everyone brings a POOL NOODLE to the town swimming spots.",-3
"P1",22,"Female","deep_love","Everyone saw the DEEP LOVE between them.",-3
"P1",22,"Female","running_head","Research reports normally require a RUNNING HEAD.",0
"P1",22,"Female","old_hat","My favorite joke might be a bit of an OLD HAT by now.",-3
"P1",22,"Female","burning_moment","That interview was a BURNING MOMENT in his life.",-3
"P1",22,"Female","warm_welcome","The newcomer thanked everyone for the WARM WELCOME during her visit.",-3
"P1",22,"Female","ninja_writing","The NINJA WRITING course will show you the techniques and strategy you need to write effectively.",-2
"P1",22,"Female","square_meal","In the school, children receive three SQUARE MEALS a day.",-3
"P1",22,"Female","impatient_machinery","The IMPATIENT MACHINERY kept on running.",0
"P1",22,"Female","bucket_list","Here are 25 surprising new destinations to put on your BUCKET LIST.",-3
"P1",22,"Female","dragon_teacher","The students are scared of their DRAGON TEACHER.",0
"P1",22,"Female","silent_wound","The mother had a SILENT WOUND because of her son's death.",0
"P1",22,"Female","walking_encyclopedia","Jennifer, the WALKING ENCYCLOPEDIA of the group, is always contributing to the conversation.",0
"P1",22,"Female","golden_hour","The patient suffered major blood loss, fortunately they got him to the hospital within the GOLDEN HOUR.",-3
"P1",22,"Female","flat_art","She wasn't hired at the museum because of her FLAT ART.",-3
"P1",22,"Female","hungry_mind","Undergraduates with a HUNGRY MIND make better graduate students.",0
"P1",22,"Female","foggy_memory","Due to his FOGGY MEMORY, he doesn't remember seeing the doctor again.",-3
"P1",22,"Female","golden_egg","The American taxpayer has become a reliable GOLDEN EGG for greedy politicians.",-3
"P1",22,"Female","early_bird","The EARLY BIRD always gets the best seat at the movie theatre.",0
"P1",22,"Female","small_talk","The advisor doesn't enjoy SMALL TALK, she goes straight to the point.",-3
"P1",22,"Female","hot_water","He landed himself in HOT WATER after his mom realized he lied to her.",0
"P1",22,"Female","ugly_duckling","Hathaway blossomed from an UGLY DUCKLING into a princess in her breakthrough role.",0
"P1",22,"Female","bottomless_pit","He was a BOTTOMLESS PIT of ideas which made him a great writer.",0
"P1",22,"Female","hot_head","The notorious Hollywood HOT HEAD Eric Bolling showed everyone his rage again.",0
"P1",22,"Female","bitter_pill","The disappointment had been a BITTER PILL for her parents.",0
"P1",22,"Female","stumbling_block","A lack of innovation is a STUMBLING BLOCK for small organizations.",0
"P1",22,"Female","melting_pot","There are different heritages mixed into the American MELTING POT.",0
"P1",22,"Female","deep_water","Tom is in some DEEP WATER with the boss after all the mistakes he made this week.",0
"P1",22,"Female","dead_match","Putting those two together to work on that case was a DEAD MATCH.",-3
"P1",22,"Female","dark_personality","People describe him as having a DARK PERSONALITY.",-3
"P1",22,"Female","soft_skills","SOFT SKILLS are great to know to advance in your career.",-3
"P1",22,"Female","black_market","Those stolen items are easy to sell on the BLACK MARKET.",-3
"P1",22,"Female","spring_roll","He sometimes eats a SPRING ROLL at the Chinese takeaway.",-3
"P1",22,"Female","sweet_pea","Britney is such a lucky girl, she got the SWEAT PEA of the class to ask her to prom.",3
"P1",22,"Female","naked_eye","Although not visible to the NAKED EYE, the professionals understood what makes a successful image composition.",0
"P1",22,"Female","long_fuse","I've got a LONG FUSE, but after weeks of tolerating issues, I get annoyed very quickly.",0
"P1",22,"Female","sock_puppet","When someone votes as a SOCK PUPPET, we never learn their true identity.",0
"P1",22,"Female","smart_pants","Diana was wearing her SMART PANTS today, nit-picking what everyone else is saying.",2
"P1",22,"Female","test_bed","The artists used the fourth-floor space as a photography TEST BED.",0
"P1",22,"Female","golden_goose","College athletics, especially football, have always been a GOLDEN GOOSE for universities.",3
"P1",22,"Female","cold_turkey","He quit smoking COLD TURKEY after his doctor told him to.",0
"P1",22,"Female","juicy_gossip","He brought home the JUICY GOSSIP about Drucilla Hawkins.",-3
"P1",22,"Female","lawnmower_parents","That kid never deals with his problems because he has LAWNMOWER PARENTS.",-3
"P1",22,"Female","closed_mind","A lot of people had a CLOSED MIND about the case until the evidence was revealed.",-3
"P1",22,"Female","busy_bee","My supervisor is going to be a BUSY BEE for a couple of months.",-3
"P1",22,"Female","ballpark_figure","The BALLPARK FIGURE for fatalities is at least 20.",-3
"P1",22,"Female","floor_effect","These procedures were used to reduce the chance of observing a FLOOR EFFECT in the economy.",0
"P1",22,"Female","panda_eye","A way of preventing the dreaded PANDA EYE is to go for waterproof mascara.",-3
"P1",22,"Female","glass_river","The family saw the beautiful GLASS RIVER on their road trip.",-3
"P1",22,"Female","old_flame","Charles reconnected with an OLD FLAME named Camilla.",3
"P1",22,"Female","social_butterfly","SOCIAL BUTTERFLIES always make the most friends at parties.",3
"P1",22,"Female","wild_west","Now a WILD WEST, the class had no teacher and could do whatever they wanted.",0
"P1",22,"Female","nodding_leaves","The gentle NODDING LEAVES in fall are my favorite.",-3
"P1",22,"Female","tent_dress","A TENT DRESS is perfect for women who don't like to wear anything remotely form-fitting.",-3
"P1",22,"Female","cloud_nine","Martin was on CLOUD NINE after hearing the news.",0
"P1",22,"Female","almond_eyes","The model was extremely sought after for her beautiful, dark ALMOND EYES.",-3
"P1",22,"Female","bear_hug","The partners celebrated with a BEAR HUG after winning the contest.",-3
"P1",22,"Female","dark_thoughts","A few people saw Paul struggling with DARK THOUGHTS.",-3
"P1",22,"Female","red_flag","Loss of appetite is a RED FLAG for malnutrition.",0
"P1",22,"Female","love_handles","Vanessa goes to the gym to get rid of unwanted LOVE HANDLES and a bit of a belly.",0
"P1",22,"Female","media_storm","The resignation of the duke and duchess caused a MEDIA STORM.",0
"P1",22,"Female","sweet_spot","There must be a SWEET SPOT that maximizes the efficacy of the drugs and minimizes the side effects.",0
"P1",22,"Female","tiger_parents","Martha is pushed by her TIGER PARENTS to get the best grades possible.",-3
"P1",22,"Female","monkey_dance","Everyone is doing the MONKEY DANCE at night clubs these days.",-3
"P1",22,"Female","hen_party","Her bridesmaids had already thrown her a HEN PARTY.",0
"P1",22,"Female","green_light","Quickly after his recovery, Jim was given the GREEN LIGHT to walk a mile or two.",0
"P1",22,"Female","death_burger","The couple bought a DEATH BURGER from their usual takeaway place.",0
"P1",22,"Female","money_laundering","The politician was accused of MONEY LAUNDERING.",3
"P1",22,"Female","bright_student","She was a BRIGHT STUDENT who learned quickly.",-3
"P1",22,"Female","sweet_tooth","Ryan has a SWEET TOOTH and keeps a stash of candy in his top drawer.",0
"P1",22,"Female","big_cheese","He was a BIG CHEESE in the business world.",0
"P1",22,"Female","icy_look","The angry lady gave him an ICY LOOK.",-3
"P1",22,"Female","fish_fingers","Children love to eat FISH FINGERS for lunch.",0
"P1",22,"Female","monkey_business","I bet Paula and Frank are up to some MONKEY BUSINESS upstairs.",0
"P1",22,"Female","hot_mess","Her life turned into a HOT MESS after the child's birth.",-3
"P1",22,"Female","brain_fog","Chronic fatigue syndrome causes tiredness, poor sleep , BRAIN FOG, and/or muscle pain.",3
"P1",22,"Female","bare_bones","Alexander got the details of the book down to its BARE BONES.",0
"P1",22,"Female","gentle_art","He completed his work with GENTLE ART, always giving it the attention it needs .",-2
"P1",22,"Female","hot_seat","After being involved in the settlement talks, he was in the HOT SEAT with management.",0
"P1",22,"Female","punching_ball","Whenever her husband was frustrated, Jane became his PUNCHING BALL.",0
"P1",22,"Female","slam_dunk","After the prosecutor threw away a SLAM DUNK conviction, he decided to quit.",0
"P1",22,"Female","curtain_bangs","CURTAIN BANGS used to be a super-popular '70s hairstyle.",-3
"P1",22,"Female","mad_slap","The music Andrew listened to yesterday was a MAD SLAP.",-3
"P1",22,"Female","raging_bull","Surfing in the Pacific Ocean is a dangerous sport because the RAGING BULL can easily knock surfers over.",0
"P1",22,"Female","lip_service","The only thing administrators give is LIP SERVICE to their employees.",0
"P1",22,"Female","firefly_eyes","The guy was looking at his girlfriend with FIREFLY EYES.",-3
"P1",22,"Female","eye_candy","Derek married the last EYE CANDY in town and took her off the market.",0
"P1",22,"Female","dirty_mouth","That kid has a very DIRTY MOUTH and should be punished.",-2
"P1",22,"Female","dirty_money","The wife believed his husband was giving her DIRTY MONEY for her to hide it.",-3
"P1",22,"Female","empty_nest","Once the kids moved out, John was enjoying the EMPTY NEST with his wife",0
"P1",22,"Female","dry_laugh","He let out a DRY LAUGH without a shred of cheerfulness.",-3
"P1",22,"Female","wine_legs","WINE LEGS indicate either high alcohol content and/or high sugar content in wine.",-3
"P1",22,"Female","spider_plank","A SPIDER PLANK can give you a full body workout by toning your abs and building flexibility.",0
"P1",22,"Female","black_widow","They suggest Andrea might be a BLACK WIDOW, not a grieving one.",0
"P1",22,"Female","sunny_disposition","Amanda's SUNNY DISPOSITION was appreciated by everyone.",-3
"P1",22,"Female","salty_dog","A SALTY DOG knows everything about the seas.",-3
"P1",22,"Female","happy_hour","Undergrads go to bars only during HAPPY HOUR to save money.",0
"P1",22,"Female","pie_chart","The website shows you what your budget looks like in a PIE CHART divided into the various expense categories.",-3
"P1",22,"Female","rebound_effect","The patient experienced a REBOUND EFFECT after having liposuction done.",-2
"P1",22,"Female","love_triangle","There was a LOVE TRIANGLE of tension building in the office.",0
"P1",22,"Female","star_jump","A STAR JUMP can be substituted by a squat and a side leg rise.",0
"P1",22,"Female","toxic_person","A TOXIC PERSON deserves to be unfriended.",-3
"P1",22,"Female","blue_moon","Karen only drinks every BLUE MOON, so this must be a special occasion.",-3
"P1",22,"Female","gold_digger","I thought she was a GOLD DIGGER and had other motives to marry him.",0
"P1",22,"Female","lightning_reflexes","Andrew is good at ping-pong because he has LIGHTNING REFLEXES.",0
"P1",22,"Female","shark_lawyer","The SHARK LAWYER will always defends her actions as an overzealous advocate.",-3
"P1",22,"Female","bad_seed","That guy is a BAD SEED because he makes life very difficult for all of us.",-3
"P1",22,"Female","cold_fish","Scott Berg knew that Wilson was no COLD FISH.",0
"P1",22,"Female","magnetic_attraction","Holly felt an undeniable MAGNETIC ATTRACTION towards a boy she barely knew.",0
"P1",22,"Female","straight_arrow","He has always been such a STRAIGHT ARROW in his career.",0
"P1",22,"Female","love_bug","Nick got bit by the LOVE BUG on Valentine's Day.",0
"P1",22,"Female","crooked_math","He used CROOKED MATH to became a billionaire.",0
"P1",22,"Female","baby_fever","When one of her coworkers brought her baby to work, Breanna got a case of the BABY FEVER.",3
"P1",22,"Female","bitter_end","They stayed there and fought until the BITTER END.",0
"P1",22,"Female","sixth_sense","He always had a SIXTH SENSE for when police were around, so he never got caught.",0
"P1",22,"Female","ugly_truth","People are never ready to hear the UGLY TRUTH about themselves.",-2
"P1",22,"Female","cabin_fever","The kids will develop CABIN FEVER after too many days in isolation.",0
"P1",22,"Female","office_monkey","Daniel is Microsoft's OFFICE MONKEY, constantly doing other people's errands.",2
"P1",22,"Female","brilliant_idea","Jessie had the BRILLIANT IDEA to try sledding down the mountain in summer.",0
"P1",22,"Female","lame_duck","That politician is a LAME DUCK but he's still so powerful.",0
"P1",22,"Female","big_fish","The prosecutor made a deal with the lawyer to catch the BIG FISH.",0
"P1",22,"Female","wiggle_room","He had some WIGGLE ROOM in his schedule.",0
"P1",22,"Female","delicate_flower","She is dating a DELICATE FLOWER who likes to talk about his feelings.",0
"P1",22,"Female","skeleton_crew","The company went from a SKELETON CREW of 25 employees to 150.",-2
"P1",22,"Female","movie_star","Meryl Streep is without a doubt a MOVIE STAR.",3
"P1",22,"Female","cheese_writing","The first draft always turns out to be CHEESE WRITING.",-2
"P1",22,"Female","baby_shower","Most mothers have a lot of fun at a BABY SHOWER and will have at least one in their lifetime.",2
"P1",22,"Female","online_scrub","The publicist had to do an ONLINE SCRUB to delete any evidence from the internet.",0
"P1",22,"Female","memory_lane","Taking a trip down MEMORY LANE helps when you're having a bad day.",3
"P1",22,"Female","green_thumb","I lack the GREEN THUMB required to nurture a garden.",0
"P1",22,"Female","chicken_feed","The store owner pays his employees CHICKEN FEED.",2
"P1",22,"Female","blue_blood","Future club members don't need to have BLUE BLOOD to be accepted.",-1
"P1",22,"Female","black_sheep","She soon became the BLACK SHEEP of the family.",0
"P1",22,"Female","eagle_eyes","He was considered a sharp shooter in the army, but his EAGLE EYES have weakened with time.",-2
"P1",22,"Female","couch_potato","The cold weather makes it easier for people to become a COUCH POTATO.",0
"P1",22,"Female","angry_sea","They screamed as if tossed by an ANGRY SEA.",-2
"P1",22,"Female","velvet_skin","After she applied the foundation she was left with VELVET SKIN.",-2
"P1",22,"Female","lazy_eye","As a child, her doctors told her she had a LAZY EYE.",-3
"P1",22,"Female","black_box","Psychology research attempts to understand how the mind's mysterious BLACK BOX works.",0
"P1",22,"Female","cash_cow","He bought a bankrupt shop and turned it into a CASH COW.",0
"P1",22,"Female","soft_landing","After her terrible dismissal, Alexa had a SOFT LANDING at her new job.",0
"P1",22,"Female","mother_cell","If the MOTHER CELL is introduced into the DNA of a mutated animal, a cure could be possible synthesized.",0
"P1",22,"Female","nuclear_anger","His NUCLEAR ANGER made him a frightening person to be around.",-2
"P1",22,"Female","chopping_block","The associate is just the next one to line himself up for the CHOPPING BLOCK.",0
"P1",22,"Female","dirty_job","It's a DIRTY JOB, but somebody has to do it.",0
"P1",22,"Female","drug_mule","The girl agreed to be a DRUG MULE to help her family financially.",3
"P1",22,"Female","milk_moustache","The toddler with the MILK MOUSTACHE was eating by himself.",1
"P1",22,"Female","cool_head","It is important to keep a COOL HEAD and not show anger when dealing with people in debate class.",-2
"P1",22,"Female","sports_clown","Everyone was looking at the SPORTS CLOWN who was wearing his Chargers jersey at church.",3
"P1",22,"Female","small_potatoes","The lawyer was told to stop fighting for SMALL POTATOES.",2
"P1",22,"Female","cross_fire","She was a simple woman caught in the CROSS FIRE of other people's drama.",0
"P1",22,"Female","foot_soldiers","Programmers are the FOOT SOLDIERS of the computer revolution.",0
"P1",22,"Female","bullet_point","The outline was organized in BULLET POINTS.",0
"P1",22,"Female","hidden_gem","The travel blogger needed to find a new HIDDEN GEM to write about.",3
"P1",22,"Female","strawberry_legs","Implementing the right products into your skincare routine can help treat STRAWBERRY LEGS.",-3
"P1",22,"Female","moral_compass","Most villains lack a MORAL COMPASS.",3
"P1",22,"Female","family_tree","The orphan was tracing her FAMILY TREE to see where she came from.",3
"P1",22,"Female","crowd_surfing","There is always a little bit of CROWD SURFING during pop concerts.",3
"P1",22,"Female","silver_lining","It is important to see the SILVER LINING in every tragedy.",0
"P1",22,"Female","road_dog","Bill was visiting all the good places with his ROAD DOG.",0
"P1",22,"Female","flash_sale","The FLASH SALE will include designers like Vera Wang, Alberta Ferretti, and Steuben.",-3
"P1",22,"Female","crocodile_tears","Last night, Jasmine tried to convince the jury with CROCODILE TEARS.",-2
"P1",22,"Female","broken_face","She couldn't get a date because she was a BROKEN FACE.",-2
"P1",22,"Female","dirty_laundry","I didn't want to risk airing our family's DIRTY LAUNDRY for millions to see.",0
"P1",22,"Female","golden_heart","The boy has a GOLDEN HEART, he's always helping his family.",-1
"P1",22,"Female","baby_blues","Mood swings, feeling sad, and being unable to concentrate are all signs of having the BABY BLUES.",3
"P1",22,"Female","peak_hours","Increasing traffic in the area has made travel difficult during PEAK HOURS.",-3
"P1",22,"Female","chicken_legs","The runway model is so skinny that she has CHICKEN LEGS.",-3
"P1",22,"Female","lukewarm_reception","Alex's best idea got a LUKEWARM RECEPTION.",0
"P1",22,"Female","bitter_truth","After the fight, she learned the BITTER TRUTH.",-3
"P1",22,"Female","hot_potato","Abortion is a political HOT POTATO.",0
"P1",22,"Female","dirty_dance","That was quite a DIRTY DANCE at the night club.",-2
"P1",22,"Female","sharp_scent","He disliked the SHARP SCENT of cleaner on her clothes.",-3
"P1",22,"Female","bubbly_personality","Abby's BUBBLY PERSONALITY blended well at the party.",-3
"P1",22,"Female","innocent_lamb","Jones might be an INNOCENT LAMB but investors are nervy.",3
"P1",22,"Female","white_blanket","During winter, the city of Montreal is covered by a WHITE BLANKET.",0
"P1",22,"Female","smart_cookie","She is one SMART COOKIE and a great role model for the rest of us.",3
"P1",22,"Female","tough_cookie","The girl next door is a TOUGH COOKIE.",3
"P1",22,"Female","bumpy_life","Anna had overcome many difficulties in her BUMPY LIFE.",-3
"P1",22,"Female","dry_buzz","The DRY BUZZ of the computers annoyed the secretary.",0
"P1",22,"Female","molten_sound","That band has such a MOLTEN SOUND.",0
"P1",22,"Female","hair_donut","A HAIR DONUT can give the appearance of a great hair bun for people with thin hair.",2
"P1",22,"Female","wet_blanket","Joseph is such a WET BLANKET who takes the fun out of every party.",0
"P1",22,"Female","pink_noise","Researchers found that steady PINK NOISE increases stable sleep.",-2
"P1",22,"Female","big_brother","Everyone is careful in the office because BIG BROTHER is always watching.",0
"P1",22,"Female","late_bloomer","Raphael was a LATE BLOOMER when he finally arrived at the department.",3
"P1",22,"Female","fan_brush","A FAN BRUSH is ideal to apply powder products in small regions of the face.",1
"P1",22,"Female","seamless_recovery","The patient went back home and had a SEAMLESS RECOVERY.",-2
"P1",22,"Female","bulletproof_argument","Ms. Allens used a BULLETPROOF ARGUMENT to make her case.",-3
"P1",22,"Female","ice_breaker","The teacher started with a quick ICE BREAKER on the first day of school.",0
"P1",22,"Female","social_ladder","They now had a chance to earn college degrees and to climb the SOCIAL LADDER in their new country.",3
"P1",22,"Female","blind_eye","They can point out the other team's flaws but have a BLIND EYE to their own.",-3
"P1",22,"Female","dead_end","I found myself embarrassed when I hit a DEAD END in my life.",0
"P1",22,"Female","third_eye","Everyone thinks that she has a THIRD EYE for anticipating drama.",-3
"P1",22,"Female","rotting_education","The last government collapsed because of the ROTTING EDUCATION system.",-2
"P1",22,"Female","bad_blood","There was BAD BLOOD between the Eagles and the Cowboys.",-3
"P1",22,"Female","forbidden_fruit","Mary was a FORBIDDEN FRUIT for John because she was married.",-3
"P1",22,"Female","black_swan","Among natural disasters, 1992's Hurricane Andrew was a BLACK SWAN.",-3
"P1",22,"Female","shivering_life","What draws the reader to the novel is the hope of warming his SHIVERING LIFE.",-2
"P1",22,"Female","blind_date","A friend in Miami set her up on a BLIND DATE with Jason.",-2
"P1",22,"Female","cold_iron","Her boyfriend's heart is a COLD IRON.",0
"P1",22,"Female","hourglass_figure","Wrap tops and dresses accentuate the waist and enhance an HOURGLASS FIGURE.",-3
"P1",22,"Female","sugar_baby","Most people did not understand her work as a SUGAR BABY.",0
"P1",22,"Female","ceiling_effect","The researchers agreed that a CEILING EFFECT was the best explanation available.",0
"P1",22,"Female","last_straw","The departure of Amy and Jack was the LAST STRAW for Millie.",0
"P1",22,"Female","butter_fingers","Steve is constantly dropping things because of his BUTTER FINGERS.",0
"P1",22,"Female","gold_standard","This is a must have album, the one that set the new GOLD STANDARD for Helloween albums.",0
"P1",22,"Female","floating_shelf","A FLOATING SHELF is ideal for items that you need easy access to.",-3
"P1",22,"Female","muffin_top","Cindy has noticed a little MUFFIN TOP when she puts on her best pair of jeans.",0
"P1",22,"Female","rocky_end","The couple had a ROCKY END to their relationship.",-2
"P1",22,"Female","fragrant_shadow","He was surrounded by the FRAGRANT SHADOW of the church and felt at peace.",0
"P1",22,"Female","chain_reaction","The mayor's ideas caused a CHAIN REACTION with grave political consequences.",-2
"P1",22,"Female","iron_fist","Big law firms are managed with an IRON FIST.",0
"P1",22,"Female","penguin_huddle","The students are doing a PENGUIN HUDDLE to stay warm.",0
"P1",22,"Female","kitten_heel","A KITTEN HEEL is better for people with smaller calves as it is easier on the feet.",-2
"P1",22,"Female","poker_face","Melissa discovered quite early that she had a good POKER FACE.",-3
"P1",22,"Female","tunnel_vision","TUNNEL VISION can also be considered as a symptom of glaucoma.",-1
"P1",22,"Female","short_fuse","He has a SHORT FUSE and when pushed, may become violent.",2
"P1",22,"Female","eye_bags","Greensations makes a variety of anti-aging products that target EYE BAGS and dark circles.",2
"P1",22,"Female","tube_top","Allegra was wearing a TUBE TOP with sequins to the club.",-2
"P1",22,"Female","tender_sky","The TENDER SKY made for a romantic evening.",0
"P1",22,"Female","baby_steps","Learning a new language requires BABY STEPS at first.",0
"P1",22,"Female","acid_test","Watkins' patients were put to the ACID TEST.",0
"P1",22,"Female","sly_fox","There is a SLY FOX in every office who always gets others to do his work for him.",0
"P1",22,"Female","umbrella_term","The committee examined which UMBRELLA TERM best encompasses the problems they face.",-2
"P1",22,"Female","burning_question","The woman had a BURNING QUESTION she couldn't wait to ask.",-3
"P1",22,"Female","stalking_horse","The client was used as a STALKING HORSE to get an even bigger client.",0
"P1",22,"Female","old_dinosaur","That professor is an OLD DINOSAUR who doesn't know how to use a computer.",2
"P1",22,"Female","cool_cat","Their guitar player is one COOL CAT.",2
"P1",22,"Female","smoking_gun","That last piece of evidence provided investigators with their SMOKING GUN.",0
"P1",22,"Female","bat_wings","Mary's trainer suggested lifting weights to get rid of her BAT WINGS.",0
"P1",22,"Female","home_bird","As a HOME BIRD, Paul simply does not leave his house.",1
"P1",22,"Female","pyramid_scheme","New York's elite have been running a decades-long PYRAMID SCHEME.",-2
"P1",22,"Female","rug_rats","Family restaurants are always noisy because RUG RATS are constantly running around.",0
"P1",22,"Female","trophy_wife","Mark introduced his TROPHY WIFE to the members as his guest.",-3
"P1",22,"Female","cake_face","To avoid having a CAKE FACE, it is advisable to apply fewer layers of foundation.",-2
"P1",22,"Female","soft_spot","Daniel has a SOFT SPOT for street dogs.",0
"P1",22,"Female","white_noise","WHITE NOISE is currently available in an endless number of apps.",-3
"P1",22,"Female","night_owl","You have to be a very early riser or a lively NIGHT OWL to enjoy that festival.",2
"P1",22,"Female","wild_dog","The managing partner becomes a WILD DOG when it comes to his firm.",1
"P1",22,"Female","killer_presentation","A KILLER PRESENTATION always captures people's attention.",-2
"P2",31,"F","love_bug","Nick got bit by the LOVE BUG on Valentine's Day.",3
"P2",31,"F","couch_potato","The cold weather makes it easier for people to become a COUCH POTATO.",3
"P2",31,"F","burning_moment","That interview was a BURNING MOMENT in his life.",-3
"P2",31,"F","cabin_fever","The kids will develop CABIN FEVER after too many days in isolation.",3
"P2",31,"F","brain_fog","Chronic fatigue syndrome causes tiredness, poor sleep , BRAIN FOG, and/or muscle pain.",3
"P2",31,"F","golden_hour","The patient suffered major blood loss, fortunately they got him to the hospital within the GOLDEN HOUR.",0
"P2",31,"F","ugly_duckling","Hathaway blossomed from an UGLY DUCKLING into a princess in her breakthrough role.",3
"P2",31,"F","silent_wound","The mother had a SILENT WOUND because of her son's death.",0
"P2",31,"F","strawberry_legs","Implementing the right products into your skincare routine can help treat STRAWBERRY LEGS.",0
"P2",31,"F","bitter_end","They stayed there and fought until the BITTER END.",-3
