stimulus,constituent_1,constituent_2,list_id
纸伞,纸,伞,3
舞蹈团,舞蹈,团,3
船舱,船,舱,3
艺术剧院,艺术,剧院,3
西风,西,风,3
陶瓷制品,陶瓷,制品,3
专题报告,专题,报告,4
内部事务,内部,事务,4
内部结构,内部,结构,4
化学材料,化学,材料,4
商业秘密,商业,秘密,4
园林城市,园林,城市,4
坟墓,坟,墓,4
天文数字,天文,数字,4
娱乐节目,娱乐,节目,4
山顶,山,顶,4
心理素质,心理,素质,4
手机游戏,手机,游戏,4
教派,教,派,4
星云,星,云,4
标语牌,标语,牌,4
民间文艺,民间,文艺,4
生物医学,生物,医学,4
眼力,眼,力,4
科技人才,科技,人才,4
税务系统,税务,系统,4
笔墨,笔,墨,4
艺术总监,艺术,总监,4
行业标准,行业,标准,4
资产阶级,资产,阶级,4
鱼缸,鱼,缸,4
中外记者,,记者,5
会议主题,会议,主题,5
内外,内,外,5
化学物质,化学,物质,5
区域规划,区域,规划,5
卫生领域,卫生,领域,5
历史事实,历史,事实,5
后年,后,年,5
品德教育,品德,教育,5
左侧,左,侧,5
幕府将军,幕府,将军,5
心弦,心,弦,5
手枪,手,枪,5
概念车,概念,车,5
橄榄球,橄榄,球,5
电厂,电,厂,5
系列讲座,系列,讲座,5
网络软件,网络,软件,5
肠道,肠,道,5
脚步声,脚步,声,5
艺术影院,艺术,影院,5
边防支队,边防,支队,5
铁锈,铁,锈,5
集体土地,集体,土地,5
面团,面,团,5
主权国家,主权,国家,6
乒乓外交,乒乓,外交,6
价格指数,价格,指数,6
公权力,,权力,6
声波,声,波,6
少林功夫,少林,功夫,6
市场机制,市场,机制,6
底部,底,部,6
形象大使,形象,大使,6
戏曲,戏,曲,6
时代特征,时代,特征,6
本位主义,本位,主义,6
泥水,泥,水,6
淋巴癌,淋巴,癌,6
生态农业,生态,农业,6
电力工程,电力,工程,6
电梯门,电梯,门,6
石油工业,石油,工业,6
科技含量,科技,含量,6
能源技术,能源,技术,6
脚本,脚,本,6
苹果树,苹果,树,6
蝴蝶效应,蝴蝶,效应,6
金融市场,金融,市场,6
铁牛,铁,牛,6
中央委员,中央,委员,7
书包,书,包,7
人像,人,像,7
人间烟火,人间,烟火,7
光环,光,环,7
军事力量,军事,力量,7
农村面貌,农村,面貌,7
前人,前,人,7
名家书画,名家,书画,7
商品质量,商品,质量,7
土著居民,土著,居民,7
学部委员,学部,委员,7
心神,心,神,7
技术规程,技术,规程,7
政界人士,政界,人士,7
水气,水,气,7
油水,油,水,7
火车票,火车,票,7
癌症病人,癌症,病人,7
笔调,笔,调,7
绿色通道,绿色,通道,7
脚掌,,掌,7
草稿纸,草稿,纸,7
行为准则,行为,准则,7
词类,词,类,7
专栏作家,专栏,作家,8
书画作品,书画,作品,8
产品包装,产品,包装,8
内幕,内,幕,8
内科医生,内科,医生,8
后天,后,天,8
商业部长,商业,部长,8
垃圾桶,垃圾,桶,8
城市居民,城市,居民,8
宗教信仰,宗教,信仰,8
工程车,工程,车,8
技术规范,技术,规范,8
楼房,楼,房,8
民间艺术,民间,艺术,8
气候系统,气候,系统,8
煤矿,煤,矿,8
生活圈,生活,圈,8
神气,神,气,8
纸浆,纸,浆,8
股份公司,股份,公司,8
英语老师,英语,老师,8
责任意识,责任,意识,8
车间主任,车间,主任,8
钢铁长城,钢铁,长城,8
铅笔,,笔,8
个人信用,个人,信用,9
全局观念,全局,观念,9
公司总部,公司,总部,9
冰灾,冰,灾,9
动物模型,动物,模型,9
合同书,,书,9
喜剧色彩,喜剧,色彩,9
地铁站,地铁,站,9
外交政策,外交,政策,9
局部地区,局部,地区,9
拳头产品,拳头,产品,9
数码照片,数码,照片,9
比赛项目,比赛,项目,9
渔业资源,渔业,资源,9
牛肉,牛,肉,9
稻草人,稻草,人,9
草纸,草,纸,9
行为能力,行为,能力,9
西北,西,北,9
门市,门,市,9
雨雪,雨,雪,9
首脑会议,首脑,会议,9
鱼虫,鱼,虫,9
黄金饰品,黄金,饰品,9
债券市场,债券,市场,10
兴趣小组,兴趣,小组,10
内科,内,科,10
军队院校,军队,院校,10
国民素质,国民,素质,10
国脚,国,脚,10
塑料制品,塑料,制品,10
居民家庭,居民,家庭,10
心路,心,路,10
性能参数,性能,参数,10
数字证书,数字,证书,10
数据模型,数据,模型,10
权威部门,权威,部门,10
树皮,树,皮,10
校园环境,,环境,10
步调,步,调,10
版图,版,图,10
电子设备,电子,设备,10
眼角,眼,角,10
社区卫生,社区,卫生,10
空间结构,空间,结构,10
议会下院,议会,下院,10
路人,路,人,10
金融资本,金融,资本,10
音像制品,音像,制品,10
两岸人民,两岸,人民,11
个人成长,个人,成长,11
交通部长,交通,部长,11
人力资源,人力,资源,11
仪器厂,仪器,厂,11
公益事业,公益,事业,11
冰草,冰,草,11
历史进程,历史,进程,11
口水,口,水,11
商会会长,商会,会长,11
奖牌榜,奖牌,榜,11
姑妈,姑,妈,11
市政府,,政府,11
掌心,掌,心,11
水缸,水,缸,11
泥墙,泥,墙,11
流域规划,流域,规划,11
特色产业,特色,产业,11
特色旅游,特色,旅游,11
美术作品,美术,作品,11
脚底,脚,底,11
财政部长,财政,部长,11
边疆民族,边疆,民族,11
道路设施,道路,设施,11
银行业务,银行,业务,11
中国书画,中国,书画,12
乡政府,乡,政府,12
乡风,乡,风,12
人烟,人,烟,12
会员卡,会员,卡,12
住宅区,住宅,区,12
医药公司,医药,公司,12
名人字画,名人,字画,12
天气形势,天气,形势,12
州市,,市,12
广告页面,广告,页面,12
心头,心,头,12
战略思维,战略,思维,12
星系,星,系,12
民族风格,民族,风格,12
民间舞,民间,舞,12
汽车轮胎,汽车,轮胎,12
生物制剂,生物,制剂,12
社会风尚,社会,风尚,12
票房,票,房,12
粉店,粉,店,12
网络空间,网络,空间,12
肿瘤医院,肿瘤,医院,12
风光,风,光,12
鱼水,鱼,水,12
人生目标,人生,目标,13
人脸,人,脸,13
任务书,任务,书,13
体育总局,体育,总局,13
信函,信,函,13
关节,关,节,13
农村土地,,土地,13
前线,前,线,13
嘴脸,嘴,脸,13
国务委员,国务,委员,13
国防部长,国防,部长,13
字旗,字,旗,13
小组会议,小组,会议,13
岸坡,岸,坡,13
心血,心,血,13
数据包,数据,包,13
春节假期,春节,假期,13
智利人,智利,人,13
服装协会,服装,协会,13
猪苗,猪,苗,13
经济大国,经济,大国,13
腰坑,腰,坑,13
菜色,菜,色,13
财政状况,财政,状况,13
门风,门,风,13
东海,东,海,14
人员素质,人员,素质,14
公文包,公文,包,14
农村金融,农村,金融,14
农民负担,农民,负担,14
医师资格,医师,资格,14
协会会员,协会,会员,14
合同条款,合同,条款,14
园林景观,园林,景观,14
基层人员,基层,人员,14
寒假作业,寒假,作业,14
工程学院,工程,学院,14
市井,市,井,14
战国时期,战国,时期,14
战略决策,,决策,14
技术能手,技术,能手,14
政权机关,政权,机关,14
树根,树,根,14
油网,油,网,14
现代汉语,现代,汉语,14
瓦厂,瓦,厂,14
电影海报,电影,海报,14
电缆,电,缆,14
税务机关,税务,机关,14
铁煤,铁,煤,14
上级,上,级,15
乡镇干部,乡镇,干部,15
内地,内,地,15
前方,前,方,15
动物油,动物,油,15
品牌优势,品牌,优势,15
图像资料,图像,资料,15
家门,家,门,15
市场主体,市场,主体,15
民族利益,民族,利益,15
民间文化,民间,文化,15
火盆,火,盆,15
电力部门,,部门,15
电影院线,电影,院线,15
砖瓦厂,砖瓦,厂,15
空调,空,调,15
经济合同,经济,合同,15
艺术形象,艺术,形象,15
苹果公司,苹果,公司,15
财政拨款,财政,拨款,15
雪人,雪,人,15
青年干部,青年,干部,15
面粉,面,粉,15
餐饮公司,餐饮,公司,15
饭厅,饭,厅,15
两岸关系,两岸,关系,16
交易成本,交易,成本,16
佛家,佛,家,16
信息技术,信息,技术,16
债市,债,市,16
内力,内,力,16
土壤肥力,土壤,肥力,16
外国游客,外国,游客,16
工会干部,工会,干部,16
心理压力,心理,压力,16
扁豆花,扁豆,花,16
政治局势,政治,局势,16
政治素质,政治,素质,16
文化名城,文化,名城,16
朝核问题,朝核,问题,16
环境标准,环境,标准,16
病例,病,例,16
网络结构,网络,结构,16
设计规范,设计,规范,16
词曲,词,曲,16
贸易部长,贸易,部长,16
边界,,界,16
边界地区,边界,地区,16
题库,题,库,16
飞机票,飞机,票,16
书市,书,市,17
会计专业,会计,专业,17
体育赛事,体育,赛事,17
农业国,农业,国,17
动画电影,动画,电影,17
历史文物,历史,文物,17
商业利益,商业,利益,17
国土面积,国土,面积,17
国棉,国,棉,17
地砖,地,砖,17
奖章,奖,章,17
市场趋势,市场,趋势,17
新闻热点,新闻,热点,17
期刊论文,期刊,论文,17
火箭,火,箭,17
热点话题,热点,话题,17
电气设备,电气,设备,17
终端产品,终端,产品,17
脑力,脑,力,17
艺术作品,,作品,17
药方,药,方,17
蛋白粉,蛋白,粉,17
证券公司,证券,公司,17
钢筋,钢,筋,17
音高,音,高,17
化工企业,化工,企业,18
历史风貌,历史,风貌,18
国号,国,号,18
城里人,城里,人,18
堡垒作用,堡垒,作用,18
天桥,天,桥,18
姐妹,姐,妹,18
山洞,山,洞,18
工业协会,工业,协会,18
师范学院,师范,学院,18
战略物资,战略,物资,18
日本首相,日本,首相,18
桥头,桥,头,18
桥镇,桥,镇,18
民间舞蹈,民间,舞蹈,18
海洋资源,海洋,资源,18
环境影响,环境,影响,18
皮包,皮,包,18
碳税,,税,18
空间站,空间,站,18
站牌,站,牌,18
童话世界,童话,世界,18
绿色食品,绿色,食品,18
茶道,茶,道,18
街心,街,心,18
书法作品,书法,作品,19
产品价格,产品,价格,19
产品目录,产品,目录,19
人民公仆,人民,公仆,19
佛门,佛,门,19
冰灯,冰,灯,19
剪刀手,剪刀,手,19
国家税收,国家,税收,19
居民收入,居民,收入,19
工具书,工具,书,19
干部队伍,干部,队伍,19
年间,年,间,19
木船,木,船,19
木门,木,门,19
比赛场地,,场地,19
法律责任,法律,责任,19
电力集团,电力,集团,19
胃口,胃,口,19
草皮,草,皮,19
谜底,谜,底,19
路网,路,网,19
金融体制,金融,体制,19
金融机构,金融,机构,19
闸门,闸,门,19
雨声,雨,声,19
业务水平,业务,水平,20
人命,,命,20
住宅小区,住宅,小区,20
保障卡,保障,卡,20
医药企业,医药,企业,20
国道,国,道,20
地板砖,地板,砖,20
工程设计,工程,设计,20
弧线,弧,线,20
才气,才,气,20
水门,水,门,20
油漆厂,油漆,厂,20
泥巴路,泥巴,路,20
煤炭行业,煤炭,行业,20
玉米价格,玉米,价格,20
科技产业,科技,产业,20
股东大会,股东,大会,20
舞步,舞,步,20
街角,街,角,20
课堂气氛,课堂,气氛,20
豆芽,豆,芽,20
酒水,酒,水,20
领袖人物,领袖,人物,20
食道,食,道,20
饭店,饭,店,20
专题报道,专题,报道,21
中心站,中心,站,21
优势产业,优势,产业,21
党性原则,党性,原则,21
口头,口,头,21
商品种类,商品,种类,21
国旗,国,旗,21
图画,图,画,21
山药,山,药,21
数据中心,数据,中心,21
时间表,时间,表,21
期末考试,期末,考试,21
桃花,桃,花,21
水田,水,田,21
海外侨胞,海外,侨胞,21
码头工人,码头,工人,21
耕地面积,耕地,面积,21
肝病,肝,病,21
脾胃,脾,胃,21
课外阅读,课外,阅读,21
轴线,轴,线,21
钢铁工业,钢铁,工业,21
青年人,青年,人,21
食品质量,,质量,21
鱼骨头,鱼,骨头,21
世界市场,世界,市场,22
人鱼,人,鱼,22
会计学院,会计,学院,22
公司章程,公司,章程,22
南欧国家,南欧,国家,22
名牌大学,名牌,大学,22
商业活动,商业,活动,22
国手,国,手,22
土壤资源,土壤,资源,22
基础医学,基础,医学,22
大学教授,大学,教授,22
导游证,导游,证,22
封面,封,面,22
居民区,居民,区,22
技术储备,技术,储备,22
民族服装,民族,服装,22
民间工艺,民间,工艺,22
水晶球,,球,22
汽笛声,汽笛,声,22
火山,火,山,22
画布,画,布,22
碳氢,碳,氢,22
脸书,脸,书,22
警察机关,警察,机关,22
马戏,马,戏,22
人物性格,人物,性格,23
公路桥,公路,桥,23
动力车,动力,车,23
医学专家,医学,专家,23
地质矿产,地质,矿产,23
奶油,奶,油,23
小区业主,小区,业主,23
工作岗位,工作,岗位,23
戏票,戏,票,23
文化素质,文化,素质,23
油灯,油,灯,23
玻璃墙,玻璃,墙,23
电视栏目,电视,栏目,23
盐路,盐,路,23
租税,租,税,23
税收制度,税收,制度,23
职工工资,职工,工资,23
职工队伍,职工,队伍,23
背景墙,背景,墙,23
茅草屋,茅草,屋,23
草书,草,书,23
证书,,书,23
诗书,诗,书,23
车手,车,手,23
银行利息,银行,利息,23
人情,人,情,24
价格优势,价格,优势,24
传奇色彩,传奇,色彩,24
信贷业务,信贷,业务,24
国家元首,国家,元首,24
国家机密,国家,机密,24
国际象棋,国际,象棋,24
工程技术,工程,技术,24
手脚,手,脚,24
效果图,效果,图,24
数字信息,数字,信息,24
本分,本,分,24
民意代表,民意,代表,24
民族音乐,,音乐,24
水货,水,货,24
江南,江,南,24
河北梆子,河北,梆子,24
短篇小说,短篇,小说,24
社会公众,社会,公众,24
神经网络,神经,网络,24
经济体制,经济,体制,24
股利,股,利,24
血糖,血,糖,24
钢铁企业,钢铁,企业,24
铅字,铅,字,24
人物形象,人物,形象,25
体育比赛,体育,比赛,25
城市形象,城市,形象,25
城市污水,城市,污水,25
官兵,官,兵,25
工伤事故,工伤,事故,25
当代文学,当代,文学,25
政策界限,政策,界限,25
气候灾害,气候,灾害,25
汽油车,汽油,车,25
油田,油,田,25
燃气锅炉,燃气,锅炉,25
班级,,级,25
球面,球,面,25
皮肉,皮,肉,25
眼圈,眼,圈,25
眼药水,眼,药水,25
短期行为,短期,行为,25
矿山企业,矿山,企业,25
草房子,草,房子,25
草鞋,草,鞋,25
贸易逆差,贸易,逆差,25
钱包,钱,包,25
鞭炮,鞭,炮,25
鱼肉,鱼,肉,25
世界屋脊,世界,屋脊,26
乳腺癌,乳腺,癌,26
会计制度,会计,制度,26
公众形象,公众,形象,26
公安局长,公安,局长,26
商业保险,商业,保险,26
国家计划,国家,计划,26
图书市场,图书,市场,26
圆圈,圆,圈,26
工业部门,,部门,26
市场走势,市场,走势,26
总体布局,总体,布局,26
技术产业,技术,产业,26
旅客列车,旅客,列车,26
权威人士,权威,人士,26
民间团体,民间,团体,26
法人资格,法人,资格,26
火锅店,火锅,店,26
烟雾,烟,雾,26
玻璃球,玻璃,球,26
电话号码,电话,号码,26
盐水,盐,水,26
网络广告,网络,广告,26
货款,货,款,26
鸵鸟政策,鸵鸟,政策,26
中心主义,中心,主义,27
人民代表,人民,代表,27
人民警察,人民,警察,27
公路网,公路,网,27
化肥厂,化肥,厂,27
墓地,墓,地,27
宗教事务,宗教,事务,27
尿酸,尿,酸,27
岛国,,国,27
工艺技术,工艺,技术,27
本地人,本地,人,27
氧气,氧,气,27
沟渠,沟,渠,27
泪水,泪,水,27
烟头,烟,头,27
物质基础,物质,基础,27
琴声,琴,声,27
石油市场,石油,市场,27
经济社会,经济,社会,27
船桨,船,桨,27
血泪,血,泪,27
词牌,词,牌,27
诗词,诗,词,27
课程标准,课程,标准,27
酒家,酒,家,27
书信,书,信,28
体育局,体育,局,28
信号灯,信号,灯,28
军官证,军官,证,28
前辈,前,辈,28
国人,国,人,28
宫颈癌,宫颈,癌,28
山脚,山,脚,28
工会组织,工会,组织,28
建筑风格,建筑,风格,28
毒瘾,,瘾,28
气象景观,气象,景观,28
法门,法,门,28
游戏网,游戏,网,28
火灾,火,灾,28
生活习惯,生活,习惯,28
电影网,电影,网,28
社会制度,社会,制度,28
空气质量,空气,质量,28
线路,线,路,28
经济网,经济,网,28
西欧国家,西欧,国家,28
蹄音,蹄,音,28
车主,车,主,28
交警支队,交警,支队,29
产权,产,权,29
北欧国家,北欧,国家,29
厨房电器,厨房,电器,29
土壤水分,土壤,水分,29
地理环境,地理,环境,29
外星人,外星,人,29
天王,天,王,29
少儿读物,少儿,读物,29
影视动画,影视,动画,29
总体目标,总体,目标,29
支部书记,支部,书记,29
权威机构,权威,机构,29
歌舞,歌,舞,29
生物科技,生物,科技,29
电源线,电源,线,29
科学研究,科学,研究,29
职工收入,职工,收入,29
股票市场,股票,市场,29
舞台,,台,29
虫草,虫,草,29
蜘蛛人,蜘蛛,人,29
警察学校,警察,学校,29
车队,车,队,29
重点学科,重点,学科,29
业主大会,业主,大会,30
侨务工作,侨务,工作,30
冰窖,冰,窖,30
医学论坛,医学,论坛,30
塑料布,塑料,布,30
外汇资金,外汇,资金,30
天线,天,线,30
学校后勤,,后勤,30
工业园区,工业,园区,30
市场份额,市场,份额,30
战略规划,战略,规划,30
政治势力,政治,势力,30
旋风,旋,风,30
月球,月,球,30
木马病毒,木马,病毒,30
法院系统,法院,系统,30
火力,火,力,30
火灾现场,火灾,现场,30
肉类,肉,类,30
重力,重,力,30
钢牙,钢,牙,30
铁门,铁,门,30
铜钱,铜,钱,30
门神,门,神,30
集体利益,集体,利益,30
代表大会,代表,大会,31
北国,北,国,31
商业模式,商业,模式,31
商业行为,商业,行为,31
土壤环境,土壤,环境,31
头球,头,球,31
幼儿教师,幼儿,教师,31
技术手段,技术,手段,31
整体利益,整体,利益,31
星团,星,团,31
期货交易,期货,交易,31
沿海经济,沿海,经济,31
海关,海,关,31
海气,海,气,31
火锅,火,锅,31
牛粪,牛,粪,31
球类,球,类,31
生态旅游,,旅游,31
男子篮球,男子,篮球,31
脑筋,脑,筋,31
舞会,舞,会,31
草药,草,药,31
资本主义,资本,主义,31
道德品质,道德,品质,31
鸡汤,鸡,汤,31
人海,人,海,32
信息产业,信息,产业,32
儿科医生,儿科,医生,32
光学仪器,光学,仪器,32
冠军联赛,冠军,联赛,32
冰面,冰,面,32
国民收入,国民,收入,32
国铁,国,铁,32
外地,外,地,32
家庭作业,家庭,作业,32
小学老师,小学,老师,32
师资队伍,师资,队伍,32
戏班,戏,班,32
政务信息,政务,信息,32
文学名著,文学,名著,32
早餐会,早餐,会,32
楼层,,层,32
电视频道,电视,频道,32
矿粉,矿,粉,32
砖墙,砖,墙,32
类型信息,类型,信息,32
营养物质,营养,物质,32
视频产品,视频,产品,32
边境地区,边境,地区,32
银行贷款,银行,贷款,32
上天,上,天,33
个人主义,个人,主义,33
儿童读物,儿童,读物,33
公路交通,公路,交通,33
农民收入,农民,收入,33
剧院,剧,院,33
厂家,厂,家,33
城市规划,城市,规划,33
市场潜力,市场,潜力,33
帆船,,船,33
强权政治,强权,政治,33
政治信仰,政治,信仰,33
教学进度,教学,进度,33
时代周刊,时代,周刊,33
时代广场,时代,广场,33
林业部门,林业,部门,33
气象专家,气象,专家,33
瓜菜,瓜,菜,33
能源行业,能源,行业,33
脑心,脑,心,33
贸易总额,贸易,总额,33
金融中心,金融,中心,33
额头,额,头,33
风洞,风,洞,33
人脑,人,脑,34
动力电池,动力,电池,34
北京烤鸭,北京,烤鸭,34
基层政权,基层,政权,34
学士学位,学士,学位,34
客运车辆,客运,车辆,34
工艺水平,工艺,水平,34
年龄结构,年龄,结构,34
政党政治,政党,政治,34
樱花树,樱花,树,34
浪花,浪,花,34
炮声,炮,声,34
电话卡,电话,卡,34
笔下,笔,下,34
舞台灯光,舞台,灯光,34
舱门,,门,34
行业新闻,行业,新闻,34
街心公园,街心,公园,34
财政收入,财政,收入,34
道家,道,家,34
钢琴,钢,琴,34
铜锅,铜,锅,34
陶瓷厂,陶瓷,厂,34
食品科技,食品,科技,34
餐饮行业,餐饮,行业,34
中心地带,中心,地带,35
乡土气息,乡土,气息,35
书院,书,院,35
人店,人,店,35
会议记录,会议,记录,35
信号线,信号,线,35
兵马,兵,马,35
医学中心,医学,中心,35
协会主席,协会,主席,35
团体冠军,,冠军,35
春节晚会,春节,晚会,35
机关作风,机关,作风,35
杠杆作用,杠杆,作用,35
棋人,棋,人,35
热点问题,热点,问题,35
王牌,王,牌,35
皮阀,皮,阀,35
省城,省,城,35
社会保障,社会,保障,35
米粉,米,粉,35
粮食市场,粮食,市场,35
网路,网,路,35
职业道德,职业,道德,35
花灯,花,灯,35
野地,野,地,35
中国国情,中国,国情,36
人口总数,人口,总数,36
人员编制,人员,编制,36
人声,人,声,36
人民意志,人民,意志,36
企业财务,企业,财务,36
体育设施,体育,设施,36
学术年会,学术,年会,36
山坡,山,坡,36
庙门,庙,门,36
技术含量,技术,含量,36
政策法规,政策,法规,36
文化遗产,文化,遗产,36
木桌,木,桌,36
民族乐器,民族,乐器,36
油烟,油,烟,36
泥沙,泥,沙,36
百货店,百货,店,36
税款,税,款,36
粮草,粮,草,36
能源工业,能源,工业,36
脸面,脸,面,36
规章制度,规章,制度,36
课程内容,,内容,36
财务状况,财务,状况,36
产品数量,产品,数量,37
体育运动,体育,运动,37
佛牙,佛,牙,37
农业机械,农业,机械,37
国土,国,土,37
大局意识,大局,意识,37
婚姻关系,婚姻,关系,37
店主,店,主,37
手心,手,心,37
技术标准,技术,标准,37
报章,报,章,37
政治理念,政治,理念,37
暴力事件,暴力,事件,37
服装厂,服装,厂,37
汤圆,汤,圆,37
热血青年,,青年,37
肉菜,肉,菜,37
腿脚,腿,脚,37
花车,花,车,37
资源优势,资源,优势,37
铁军,铁,军,37
铁塔,铁,塔,37
长沙人,长沙,人,37
雷电,雷,电,37
面饼,面,饼,37
主题公园,主题,公园,38
交通事故,交通,事故,38
交通设施,交通,设施,38
产权制度,产权,制度,38
人质事件,人质,事件,38
信贷资金,信贷,资金,38
农业部门,农业,部门,38
前提条件,前提,条件,38
圆心,圆,心,38
基础设施,基础,设施,38
太空舱,太空,舱,38
技术参数,技术,参数,38
文化背景,文化,背景,38
气功,气,功,38
气象预报,气象,预报,38
水火,水,火,38
油嘴,油,嘴,38
海潮,海,潮,38
牙根,牙,根,38
生物化学,生物,化学,38
线头,,头,38
谜题,谜,题,38
财政预算,财政,预算,38
长征路,长征,路,38
魔鬼,魔,鬼,38
体育器材,体育,器材,39
儿童用品,儿童,用品,39
关系网,,网,39
内人,内,人,39
南海,南,海,39
哮喘病,哮喘,病,39
外汇储备,外汇,储备,39
外资来源,外资,来源,39
工房,工,房,39
心灯,心,灯,39
文化产业,文化,产业,39
水电,水,电,39
油画,油,画,39
烟酒,烟,酒,39
牌证,牌,证,39
电波,电,波,39
电话网,电话,网,39
胭脂粉,胭脂,粉,39
船头,船,头,39
行业协会,行业,协会,39
课本,课,本,39
责任书,责任,书,39
铁床,铁,床,39
音色,音,色,39
餐馆老板,餐馆,老板,39
中华美食,中华,美食,40
乡镇政府,乡镇,政府,40
书局,书,局,40
历史数据,历史,数据,40
基层单位,基层,单位,40
干部家庭,干部,家庭,40
彩虹桥,彩虹,桥,40
成就奖,成就,奖,40
技术职称,技术,职称,40
政治路线,政治,路线,40
教育方针,教育,方针,40
数字图书,数字,图书,40
本事,本,事,40
松树,松,树,40
水面,水,面,40
河口,河,口,40
泥浆,泥,浆,40
电视节目,电视,节目,40
科技体制,科技,体制,40
经济收益,经济,收益,40
经费支出,经费,支出,40
茶楼,茶,楼,40
重庆火锅,重庆,火锅,40
钢铁,,铁,40
人口数量,人口,数量,41
内线,内,线,41
卫生标准,卫生,标准,41
咖啡店,咖啡,店,41
品牌战略,品牌,战略,41
地方戏,地方,戏,41
大棚菜,大棚,菜,41
年货,年,货,41
政治觉悟,,觉悟,41
故事情节,故事,情节,41
枪头,枪,头,41
毛笔,毛,笔,41
民族素质,民族,素质,41
汽车品牌,汽车,品牌,41
电子科技,电子,科技,41
石板路,石板,路,41
税收法律,税收,法律,41
窗口单位,窗口,单位,41
肩头,肩,头,41
财务预算,财务,预算,41
资格证书,资格,证书,41
车窗,车,窗,41
部长会议,部长,会议,41
风帆,风,帆,41
业务范围,业务,范围,42
产业基地,产业,基地,42
产品规格,,规格,42
人头,人,头,42
保险合同,保险,合同,42
党委书记,党委,书记,42
公司员工,公司,员工,42
地方税,地方,税,42
外人,外,人,42
大气质量,大气,质量,42
年关,年,关,42
底线,底,线,42
政府职能,政府,职能,42
水枪,水,枪,42
海浪,海,浪,42
疾病基因,疾病,基因,42
空间信息,空间,信息,42
篮球鞋,篮球,鞋,42
纸老虎,纸,老虎,42
胶鞋,胶,鞋,42
草绳,草,绳,42
财产保险,财产,保险,42
雾气,雾,气,42
黄金屋,黄金,屋,42
中央文件,中央,文件,43
主席职位,主席,职位,43
周边国家,周边,国家,43
塑料薄膜,塑料,薄膜,43
家居装饰,家居,装饰,43
市场总监,,总监,43
心肠,心,肠,43
手掌,手,掌,43
政治局面,政治,局面,43
数据安全,数据,安全,43
新闻周刊,新闻,周刊,43
民族英雄,民族,英雄,43
物质文明,物质,文明,43
环境质量,环境,质量,43
班子成员,班子,成员,43
电线,电,线,43
番茄酱,番茄,酱,43
知识产权,知识,产权,43
科技成果,科技,成果,43
纪念邮票,纪念,邮票,43
草庙,草,庙,43
菜店,菜,店,43
血肉,血,肉,43
财务报表,财务,报表,43
软件技术,软件,技术,43
专利证书,专利,证书,44
专项基金,专项,基金,44
专题会议,专题,会议,44
主任科员,主任,科员,44
农村公路,农村,公路,44
国剧,国,剧,44
地层,地,层,44
基金项目,基金,项目,44
塑料大棚,塑料,大棚,44
小人书,小人,书,44
文艺团体,文艺,团体,44
水墨画,水墨,画,44
海权,海,权,44
灯光,灯,光,44
煤气,煤,气,44
生物资源,生物,资源,44
社会福利,社会,福利,44
经济周期,经济,周期,44
经济总量,经济,总量,44
荣誉称号,荣誉,称号,44
行家,行,家,44
谜团,谜,团,44
质量指标,质量,指标,44
门阀,门,阀,44
青年教师,,教师,44
中共党员,中共,党员,45
人民团体,人民,团体,45
价格政策,价格,政策,45
国民经济,国民,经济,45
地理单元,地理,单元,45
外乡人,外乡,人,45
