"participant_id","age","gender","trial_id","trial_order","stimulus","target_word","response"
"P1",22,"Female",48,47,"Since the general public abhors violence, the BRIGHT SIDE is that they will be able to see the truth.","bright_side",0
"P1",22,"Female",49,48,"He has an OPEN MIND about what people have to say.","open_mind",-3
"P1",22,"Female",50,49,"People believe that the adaptive textbook is the MAGIC BULLET of educational technology.","magic_bullet",0
"P1",22,"Female",51,50,"Chris considers himself a LONE WOLF because he is very independent.","lone_wolf",-3
"P1",22,"Female",52,51,"The BLACK HUMOUR wore out the audiences over time.","black_humour",-3
"P1",22,"Female",53,52,"Monday is always a ROUGH DAY at school.","rough_day",-3
"P1",22,"Female",54,53,"She was his ARM CANDY at so many cocktail parties.","arm_candy",0
"P1",22,"Female",55,54,"The word ""pedigree"" is a DEAD METAPHOR that no one remembers.","dead_metaphor",-3
"P1",22,"Female",56,55,"It is very difficult to read papers without falling into a RABBIT HOLE.","rabbit_hole",0
"P1",22,"Female",57,56,"He believes he has hit the MOTHER LODE.","mother_lode",0
"P1",22,"Female",58,57,"A MERMAID DRESS is the best option for those who want to show off their curves.","mermaid_dress",-3
"P1",22,"Female",59,58,"Since he always has FLAKY IDEAS, it's best not to listen to him.","flaky_idea",-3
"P1",22,"Female",60,59,"Everyone brings a POOL NOODLE to the town swimming spots.","pool_noodle",-3
"P1",22,"Female",61,60,"Everyone saw the DEEP LOVE between them.","deep_love",-3
"P1",22,"Female",62,61,"Research reports normally require a RUNNING HEAD.","running_head",0
"P1",22,"Female",63,62,"My favorite joke might be a bit of an OLD HAT by now.","old_hat",-3
"P1",22,"Female",64,63,"That interview was a BURNING MOMENT in his life.","burning_moment",-3
"P1",22,"Female",65,64,"The newcomer thanked everyone for the WARM WELCOME during her visit.","warm_welcome",-3
"P1",22,"Female",66,65,"The NINJA WRITING course will show you the techniques and strategy you need to write effectively.","ninja_writing",-2
"P1",22,"Female",67,66,"In the school, children receive three SQUARE MEALS a day.","square_meal",-3
"P1",22,"Female",68,67,"The IMPATIENT MACHINERY kept on running.","impatient_machinery",0
"P1",22,"Female",69,68,"Here are 25 surprising new destinations to put on your BUCKET LIST.","bucket_list",-3
"P1",22,"Female",70,69,"The students are scared of their DRAGON TEACHER.","dragon_teacher",0
"P1",22,"Female",71,70,"The mother had a SILENT WOUND because of her son's death.","silent_wound",0
"P1",22,"Female",72,71,"Jennifer, the WALKING ENCYCLOPEDIA of the group, is always contributing to the conversation.","walking_encyclopedia",0
"P1",22,"Female",73,72,"The patient suffered major blood loss, fortunately they got him to the hospital within the GOLDEN HOUR.","golden_hour",-3
"P1",22,"Female",74,73,"She wasn't hired at the museum because of her FLAT ART.","flat_art",-3
"P1",22,"Female",75,74,"Undergraduates with a HUNGRY MIND make better graduate students.","hungry_mind",0
"P1",22,"Female",76,75,"Due to his FOGGY MEMORY, he doesn't remember seeing the doctor again.","foggy_memory",-3
"P1",22,"Female",77,76,"The American taxpayer has become a reliable GOLDEN EGG for greedy politicians.","golden_egg",-3
"P1",22,"Female",78,77,"The EARLY BIRD always gets the best seat at the movie theatre.","early_bird",0
"P1",22,"Female",79,78,"The advisor doesn't enjoy SMALL TALK, she goes straight to the point.","small_talk",-3
"P1",22,"Female",80,79,"He landed himself in HOT WATER after his mom realized he lied to her.","hot_water",0
"P1",22,"Female",81,80,"Hathaway blossomed from an UGLY DUCKLING into a princess in her breakthrough role.","ugly_duckling",0
"P1",22,"Female",82,81,"He was a BOTTOMLESS PIT of ideas which made him a great writer.","bottomless_pit",0
"P1",22,"Female",83,82,"The notorious Hollywood HOT HEAD Eric Bolling showed everyone his rage again.","hot_head",0
"P1",22,"Female",84,83,"The disappointment had been a BITTER PILL for her parents.","bitter_pill",0
"P1",22,"Female",85,84,"A lack of innovation is a STUMBLING BLOCK for small organizations.","stumbling_block",0
"P1",22,"Female",86,85,"There are different heritages mixed into the American MELTING POT.","melting_pot",0
"P1",22,"Female",87,86,"Tom is in some DEEP WATER with the boss after all the mistakes he made this week.","deep_water",0
"P1",22,"Female",88,87,"Putting those two together to work on that case was a DEAD MATCH.","dead_match",-3
"P1",22,"Female",89,88,"People describe him as having a DARK PERSONALITY.","dark_personality",-3
"P1",22,"Female",90,89,"SOFT SKILLS are great to know to advance in your career.","soft_skills",-3
"P1",22,"Female",91,90,"Those stolen items are easy to sell on the BLACK MARKET.","black_market",-3
"P1",22,"Female",92,91,"He sometimes eats a SPRING ROLL at the Chinese takeaway.","spring_roll",-3
"P1",22,"Female",93,92,"Britney is such a lucky girl, she got the SWEAT PEA of the class to ask her to prom.","sweet_pea",3
"P1",22,"Female",94,93,"Although not visible to the NAKED EYE, the professionals understood what makes a successful image composition.","naked_eye",0
"P1",22,"Female",95,94,"I've got a LONG FUSE, but after weeks of tolerating issues, I get annoyed very quickly.","long_fuse",0
"P1",22,"Female",96,95,"When someone votes as a SOCK PUPPET, we never learn their true identity.","sock_puppet",0
"P1",22,"Female",97,96,"Diana was wearing her SMART PANTS today, nit-picking what everyone else is saying.","smart_pants",2
"P1",22,"Female",98,97,"The artists used the fourth-floor space as a photography TEST BED.","test_bed",0
"P1",22,"Female",99,98,"College athletics, especially football, have always been a GOLDEN GOOSE for universities.","golden_goose",3
"P1",22,"Female",100,99,"He quit smoking COLD TURKEY after his doctor told him to.","cold_turkey",0
"P1",22,"Female",101,100,"He brought home the JUICY GOSSIP about Drucilla Hawkins.","juicy_gossip",-3
"P1",22,"Female",102,101,"That kid never deals with his problems because he has LAWNMOWER PARENTS.","lawnmower_parents",-3
"P1",22,"Female",103,102,"A lot of people had a CLOSED MIND about the case until the evidence was revealed.","closed_mind",-3
"P1",22,"Female",104,103,"My supervisor is going to be a BUSY BEE for a couple of months.","busy_bee",-3
"P1",22,"Female",105,104,"The BALLPARK FIGURE for fatalities is at least 20.","ballpark_figure",-3
"P1",22,"Female",106,105,"These procedures were used to reduce the chance of observing a FLOOR EFFECT in the economy.","floor_effect",0
"P1",22,"Female",107,106,"A way of preventing the dreaded PANDA EYE is to go for waterproof mascara.","panda_eye",-3
"P1",22,"Female",108,107,"The family saw the beautiful GLASS RIVER on their road trip.","glass_river",-3
"P1",22,"Female",109,108,"Charles reconnected with an OLD FLAME named Camilla.","old_flame",3
"P1",22,"Female",110,109,"SOCIAL BUTTERFLIES always make the most friends at parties.","social_butterfly",3
"P1",22,"Female",111,110,"Now a WILD WEST, the class had no teacher and could do whatever they wanted.","wild_west",0
"P1",22,"Female",112,111,"The gentle NODDING LEAVES in fall are my favorite.","nodding_leaves",-3
"P1",22,"Female",113,112,"A TENT DRESS is perfect for women who don't like to wear anything remotely form-fitting.","tent_dress",-3
"P1",22,"Female",114,113,"Martin was on CLOUD NINE after hearing the news.","cloud_nine",0
"P1",22,"Female",115,114,"The model was extremely sought after for her beautiful, dark ALMOND EYES.","almond_eyes",-3
"P1",22,"Female",116,115,"The partners celebrated with a BEAR HUG after winning the contest.","bear_hug",-3
"P1",22,"Female",117,116,"A few people saw Paul struggling with DARK THOUGHTS.","dark_thoughts",-3
"P1",22,"Female",118,117,"Loss of appetite is a RED FLAG for malnutrition.","red_flag",0
"P1",22,"Female",119,118,"Vanessa goes to the gym to get rid of unwanted LOVE HANDLES and a bit of a belly.","love_handles",0
"P1",22,"Female",120,119,"The resignation of the duke and duchess caused a MEDIA STORM.","media_storm",0
"P1",22,"Female",121,120,"There must be a SWEET SPOT that maximizes the efficacy of the drugs and minimizes the side effects.","sweet_spot",0
"P1",22,"Female",122,121,"Martha is pushed by her TIGER PARENTS to get the best grades possible.","tiger_parents",-3
"P1",22,"Female",123,122,"Everyone is doing the MONKEY DANCE at night clubs these days.","monkey_dance",-3
"P1",22,"Female",124,123,"Her bridesmaids had already thrown her a HEN PARTY.","hen_party",0
"P1",22,"Female",125,124,"Quickly after his recovery, Jim was given the GREEN LIGHT to walk a mile or two.","green_light",0
"P1",22,"Female",126,125,"The couple bought a DEATH BURGER from their usual takeaway place.","death_burger",0
"P1",22,"Female",127,126,"The politician was accused of MONEY LAUNDERING.","money_laundering",3
"P1",22,"Female",128,127,"She was a BRIGHT STUDENT who learned quickly.","bright_student",-3
"P1",22,"Female",129,128,"Ryan has a SWEET TOOTH and keeps a stash of candy in his top drawer.","sweet_tooth",0
"P1",22,"Female",130,129,"He was a BIG CHEESE in the business world.","big_cheese",0
"P1",22,"Female",131,130,"The angry lady gave him an ICY LOOK.","icy_look",-3
"P1",22,"Female",132,131,"Children love to eat FISH FINGERS for lunch.","fish_fingers",0
"P1",22,"Female",133,132,"I bet Paula and Frank are up to some MONKEY BUSINESS upstairs.","monkey_business",0
"P1",22,"Female",134,133,"Her life turned into a HOT MESS after the child's birth.","hot_mess",-3
"P1",22,"Female",135,134,"Chronic fatigue syndrome causes tiredness, poor sleep , BRAIN FOG, and/or muscle pain.","brain_fog",3
"P1",22,"Female",136,135,"Alexander got the details of the book down to its BARE BONES.","bare_bones",0
"P1",22,"Female",137,136,"He completed his work with GENTLE ART, always giving it the attention it needs .","gentle_art",-2
"P1",22,"Female",138,137,"After being involved in the settlement talks, he was in the HOT SEAT with management.","hot_seat",0
"P1",22,"Female",139,138,"Whenever her husband was frustrated, Jane became his PUNCHING BALL.","punching_ball",0
"P1",22,"Female",140,139,"After the prosecutor threw away a SLAM DUNK conviction, he decided to quit.","slam_dunk",0
"P1",22,"Female",141,140,"CURTAIN BANGS used to be a super-popular '70s hairstyle.","curtain_bangs",-3
"P1",22,"Female",142,141,"The music Andrew listened to yesterday was a MAD SLAP.","mad_slap",-3
"P1",22,"Female",143,142,"Surfing in the Pacific Ocean is a dangerous sport because the RAGING BULL can easily knock surfers over.","raging_bull",0
"P1",22,"Female",144,143,"The only thing administrators give is LIP SERVICE to their employees.","lip_service",0
"P1",22,"Female",145,144,"The guy was looking at his girlfriend with FIREFLY EYES.","firefly_eyes",-3
"P1",22,"Female",146,145,"Derek married the last EYE CANDY in town and took her off the market.","eye_candy",0
"P1",22,"Female",147,146,"That kid has a very DIRTY MOUTH and should be punished.","dirty_mouth",-2
"P1",22,"Female",148,147,"The wife believed his husband was giving her DIRTY MONEY for her to hide it.","dirty_money",-3
"P1",22,"Female",149,148,"Once the kids moved out, John was enjoying the EMPTY NEST with his wife","empty_nest",0
"P1",22,"Female",150,149,"He let out a DRY LAUGH without a shred of cheerfulness.","dry_laugh",-3
"P1",22,"Female",151,150,"WINE LEGS indicate either high alcohol content and/or high sugar content in wine.","wine_legs",-3
"P1",22,"Female",152,151,"A SPIDER PLANK can give you a full body workout by toning your abs and building flexibility.","spider_plank",0
"P1",22,"Female",153,152,"They suggest Andrea might be a BLACK WIDOW, not a grieving one.","black_widow",0
"P1",22,"Female",154,153,"Amanda's SUNNY DISPOSITION was appreciated by everyone.","sunny_disposition",-3
"P1",22,"Female",155,154,"A SALTY DOG knows everything about the seas.","salty_dog",-3
"P1",22,"Female",156,155,"Undergrads go to bars only during HAPPY HOUR to save money.","happy_hour",0
"P1",22,"Female",157,156,"The website shows you what your budget looks like in a PIE CHART divided into the various expense categories.","pie_chart",-3
"P1",22,"Female",158,157,"The patient experienced a REBOUND EFFECT after having liposuction done.","rebound_effect",-2
"P1",22,"Female",159,158,"There was a LOVE TRIANGLE of tension building in the office.","love_triangle",0
"P1",22,"Female",160,159,"A STAR JUMP can be substituted by a squat and a side leg rise.","star_jump",0
"P1",22,"Female",161,160,"A TOXIC PERSON deserves to be unfriended.","toxic_person",-3
"P1",22,"Female",162,161,"Karen only drinks every BLUE MOON, so this must be a special occasion.","blue_moon",-3
"P1",22,"Female",163,162,"I thought she was a GOLD DIGGER and had other motives to marry him.","gold_digger",0
"P1",22,"Female",164,163,"Andrew is good at ping-pong because he has LIGHTNING REFLEXES.","lightning_reflexes",0
"P1",22,"Female",165,164,"The SHARK LAWYER will always defends her actions as an overzealous advocate.","shark_lawyer",-3
"P1",22,"Female",166,165,"That guy is a BAD SEED because he makes life very difficult for all of us.","bad_seed",-3
"P1",22,"Female",167,166,"Scott Berg knew that Wilson was no COLD FISH.","cold_fish",0
"P1",22,"Female",168,167,"Holly felt an undeniable MAGNETIC ATTRACTION towards a boy she barely knew.","magnetic_attraction",0
"P1",22,"Female",169,168,"He has always been such a STRAIGHT ARROW in his career.","straight_arrow",0
"P1",22,"Female",170,169,"Nick got bit by the LOVE BUG on Valentine's Day.","love_bug",0
"P1",22,"Female",171,170,"He used CROOKED MATH to became a billionaire.","crooked_math",0
"P1",22,"Female",172,171,"When one of her coworkers brought her baby to work, Breanna got a case of the BABY FEVER.","baby_fever",3
"P1",22,"Female",173,172,"They stayed there and fought until the BITTER END.","bitter_end",0
"P1",22,"Female",174,173,"He always had a SIXTH SENSE for when police were around, so he never got caught.","sixth_sense",0
"P1",22,"Female",175,174,"People are never ready to hear the UGLY TRUTH about themselves.","ugly_truth",-2
"P1",22,"Female",176,175,"The kids will develop CABIN FEVER after too many days in isolation.","cabin_fever",0
"P1",22,"Female",177,176,"Daniel is Microsoft's OFFICE MONKEY, constantly doing other people's errands.","office_monkey",2
"P1",22,"Female",178,177,"Jessie had the BRILLIANT IDEA to try sledding down the mountain in summer.","brilliant_idea",0
"P1",22,"Female",179,178,"That politician is a LAME DUCK but he's still so powerful.","lame_duck",0
"P1",22,"Female",180,179,"The prosecutor made a deal with the lawyer to catch the BIG FISH.","big_fish",0
"P1",22,"Female",181,180,"He had some WIGGLE ROOM in his schedule.","wiggle_room",0
"P1",22,"Female",182,181,"She is dating a DELICATE FLOWER who likes to talk about his feelings.","delicate_flower",0
"P1",22,"Female",183,182,"The company went from a SKELETON CREW of 25 employees to 150.","skeleton_crew",-2
"P1",22,"Female",184,183,"Meryl Streep is without a doubt a MOVIE STAR.","movie_star",3
"P1",22,"Female",185,184,"The first draft always turns out to be CHEESE WRITING.","cheese_writing",-2
"P1",22,"Female",186,185,"Most mothers have a lot of fun at a BABY SHOWER and will have at least one in their lifetime.","baby_shower",2
"P1",22,"Female",187,186,"The publicist had to do an ONLINE SCRUB to delete any evidence from the internet.","online_scrub",0
"P1",22,"Female",188,187,"Taking a trip down MEMORY LANE helps when you're having a bad day.","memory_lane",3
"P1",22,"Female",189,188,"I lack the GREEN THUMB required to nurture a garden.","green_thumb",0
"P1",22,"Female",190,189,"The store owner pays his employees CHICKEN FEED.","chicken_feed",2
"P1",22,"Female",191,190,"Future club members don't need to have BLUE BLOOD to be accepted.","blue_blood",-1
"P1",22,"Female",192,191,"She soon became the BLACK SHEEP of the family.","black_sheep",0
"P1",22,"Female",193,192,"He was considered a sharp shooter in the army, but his EAGLE EYES have weakened with time.","eagle_eyes",-2
"P1",22,"Female",194,193,"The cold weather makes it easier for people to become a COUCH POTATO.","couch_potato",0
"P1",22,"Female",195,194,"They screamed as if tossed by an ANGRY SEA.","angry_sea",-2
"P1",22,"Female",196,195,"After she applied the foundation she was left with VELVET SKIN.","velvet_skin",-2
"P1",22,"Female",197,196,"As a child, her doctors told her she had a LAZY EYE.","lazy_eye",-3
"P1",22,"Female",198,197,"Psychology research attempts to understand how the mind's mysterious BLACK BOX works.","black_box",0
"P1",22,"Female",199,198,"He bought a bankrupt shop and turned it into a CASH COW.","cash_cow",0
"P1",22,"Female",200,199,"After her terrible dismissal, Alexa had a SOFT LANDING at her new job.","soft_landing",0
"P1",22,"Female",201,200,"If the MOTHER CELL is introduced into the DNA of a mutated animal, a cure could be possible synthesized.","mother_cell",0
"P1",22,"Female",202,201,"His NUCLEAR ANGER made him a frightening person to be around.","nuclear_anger",-2
"P1",22,"Female",203,202,"The associate is just the next one to line himself up for the CHOPPING BLOCK.","chopping_block",0
"P1",22,"Female",204,203,"It's a DIRTY JOB, but somebody has to do it.","dirty_job",0
"P1",22,"Female",205,204,"The girl agreed to be a DRUG MULE to help her family financially.","drug_mule",3
"P1",22,"Female",206,205,"The toddler with the MILK MOUSTACHE was eating by himself.","milk_moustache",1
"P1",22,"Female",207,206,"It is important to keep a COOL HEAD and not show anger when dealing with people in debate class.","cool_head",-2
"P1",22,"Female",208,207,"Everyone was looking at the SPORTS CLOWN who was wearing his Chargers jersey at church.","sports_clown",3
"P1",22,"Female",209,208,"The lawyer was told to stop fighting for SMALL POTATOES.","small_potatoes",2
"P1",22,"Female",210,209,"She was a simple woman caught in the CROSS FIRE of other people's drama.","cross_fire",0
"P1",22,"Female",211,210,"Programmers are the FOOT SOLDIERS of the computer revolution.","foot_soldiers",0
"P1",22,"Female",212,211,"The outline was organized in BULLET POINTS.","bullet_point",0
"P1",22,"Female",213,212,"The travel blogger needed to find a new HIDDEN GEM to write about.","hidden_gem",3
"P1",22,"Female",214,213,"Implementing the right products into your skincare routine can help treat STRAWBERRY LEGS.","strawberry_legs",-3
"P1",22,"Female",215,214,"Most villains lack a MORAL COMPASS.","moral_compass",3
"P1",22,"Female",216,215,"The orphan was tracing her FAMILY TREE to see where she came from.","family_tree",3
"P1",22,"Female",217,216,"There is always a little bit of CROWD SURFING during pop concerts.","crowd_surfing",3
"P1",22,"Female",218,217,"It is important to see the SILVER LINING in every tragedy.","silver_lining",0
"P1",22,"Female",219,218,"Bill was visiting all the good places with his ROAD DOG.","road_dog",0
"P1",22,"Female",220,219,"The FLASH SALE will include designers like Vera Wang, Alberta Ferretti, and Steuben.","flash_sale",-3
"P1",22,"Female",221,220,"Last night, Jasmine tried to convince the jury with CROCODILE TEARS.","crocodile_tears",-2
"P1",22,"Female",222,221,"She couldn't get a date because she was a BROKEN FACE.","broken_face",-2
"P1",22,"Female",223,222,"I didn't want to risk airing our family's DIRTY LAUNDRY for millions to see.","dirty_laundry",0
"P1",22,"Female",224,223,"The boy has a GOLDEN HEART, he's always helping his family.","golden_heart",-1
"P1",22,"Female",225,224,"Mood swings, feeling sad, and being unable to concentrate are all signs of having the BABY BLUES.","baby_blues",3
"P1",22,"Female",226,225,"Increasing traffic in the area has made travel difficult during PEAK HOURS.","peak_hours",-3
"P1",22,"Female",227,226,"The runway model is so skinny that she has CHICKEN LEGS.","chicken_legs",-3
"P1",22,"Female",228,227,"Alex's best idea got a LUKEWARM RECEPTION.","lukewarm_reception",0
"P1",22,"Female",229,228,"After the fight, she learned the BITTER TRUTH.","bitter_truth",-3
"P1",22,"Female",230,229,"Abortion is a political HOT POTATO.","hot_potato",0
"P1",22,"Female",231,230,"That was quite a DIRTY DANCE at the night club.","dirty_dance",-2
"P1",22,"Female",232,231,"He disliked the SHARP SCENT of cleaner on her clothes.","sharp_scent",-3
"P1",22,"Female",233,232,"Abby's BUBBLY PERSONALITY blended well at the party.","bubbly_personality",-3
"P1",22,"Female",234,233,"Jones might be an INNOCENT LAMB but investors are nervy.","innocent_lamb",3
"P1",22,"Female",235,234,"During winter, the city of Montreal is covered by a WHITE BLANKET.","white_blanket",0
"P1",22,"Female",236,235,"She is one SMART COOKIE and a great role model for the rest of us.","smart_cookie",3
"P1",22,"Female",237,236,"The girl next door is a TOUGH COOKIE.","tough_cookie",3
"P1",22,"Female",238,237,"Anna had overcome many difficulties in her BUMPY LIFE.","bumpy_life",-3
"P1",22,"Female",239,238,"The DRY BUZZ of the computers annoyed the secretary.","dry_buzz",0
"P1",22,"Female",240,239,"That band has such a MOLTEN SOUND.","molten_sound",0
"P1",22,"Female",241,240,"A HAIR DONUT can give the appearance of a great hair bun for people with thin hair.","hair_donut",2
"P1",22,"Female",242,241,"Joseph is such a WET BLANKET who takes the fun out of every party.","wet_blanket",0
"P1",22,"Female",243,242,"Researchers found that steady PINK NOISE increases stable sleep.","pink_noise",-2
"P1",22,"Female",244,243,"Everyone is careful in the office because BIG BROTHER is always watching.","big_brother",0
"P1",22,"Female",245,244,"Raphael was a LATE BLOOMER when he finally arrived at the department.","late_bloomer",3
"P1",22,"Female",246,245,"A FAN BRUSH is ideal to apply powder products in small regions of the face.","fan_brush",1
"P1",22,"Female",247,246,"The patient went back home and had a SEAMLESS RECOVERY.","seamless_recovery",-2
"P1",22,"Female",248,247,"Ms. Allens used a BULLETPROOF ARGUMENT to make her case.","bulletproof_argument",-3
"P1",22,"Female",249,248,"The teacher started with a quick ICE BREAKER on the first day of school.","ice_breaker",0
"P1",22,"Female",250,249,"They now had a chance to earn college degrees and to climb the SOCIAL LADDER in their new country.","social_ladder",3
"P1",22,"Female",251,250,"They can point out the other team's flaws but have a BLIND EYE to their own.","blind_eye",-3
"P1",22,"Female",252,251,"I found myself embarrassed when I hit a DEAD END in my life.","dead_end",0
"P1",22,"Female",253,252,"Everyone thinks that she has a THIRD EYE for anticipating drama.","third_eye",-3
"P1",22,"Female",254,253,"The last government collapsed because of the ROTTING EDUCATION system.","rotting_education",-2
"P1",22,"Female",255,254,"There was BAD BLOOD between the Eagles and the Cowboys.","bad_blood",-3
"P1",22,"Female",256,255,"Mary was a FORBIDDEN FRUIT for John because she was married.","forbidden_fruit",-3
"P1",22,"Female",257,256,"Among natural disasters, 1992's Hurricane Andrew was a BLACK SWAN.","black_swan",-3
"P1",22,"Female",258,257,"What draws the reader to the novel is the hope of warming his SHIVERING LIFE.","shivering_life",-2
"P1",22,"Female",259,258,"A friend in Miami set her up on a BLIND DATE with Jason.","blind_date",-2
"P1",22,"Female",260,259,"Her boyfriend's heart is a COLD IRON.","cold_iron",0
"P1",22,"Female",261,260,"Wrap tops and dresses accentuate the waist and enhance an HOURGLASS FIGURE.","hourglass_figure",-3
"P1",22,"Female",262,261,"Most people did not understand her work as a SUGAR BABY.","sugar_baby",0
"P1",22,"Female",263,262,"The researchers agreed that a CEILING EFFECT was the best explanation available.","ceiling_effect",0
"P1",22,"Female",264,263,"The departure of Amy and Jack was the LAST STRAW for Millie.","last_straw",0
"P1",22,"Female",265,264,"Steve is constantly dropping things because of his BUTTER FINGERS.","butter_fingers",0
"P1",22,"Female",266,265,"This is a must have album, the one that set the new GOLD STANDARD for Helloween albums.","gold_standard",0
"P1",22,"Female",267,266,"A FLOATING SHELF is ideal for items that you need easy access to.","floating_shelf",-3
"P1",22,"Female",268,267,"Cindy has noticed a little MUFFIN TOP when she puts on her best pair of jeans.","muffin_top",0
"P1",22,"Female",269,268,"The couple had a ROCKY END to their relationship.","rocky_end",-2
"P1",22,"Female",270,269,"He was surrounded by the FRAGRANT SHADOW of the church and felt at peace.","fragrant_shadow",0
"P1",22,"Female",271,270,"The mayor's ideas caused a CHAIN REACTION with grave political consequences.","chain_reaction",-2
"P1",22,"Female",272,271,"Big law firms are managed with an IRON FIST.","iron_fist",0
"P1",22,"Female",273,272,"The students are doing a PENGUIN HUDDLE to stay warm.","penguin_huddle",0
"P1",22,"Female",274,273,"A KITTEN HEEL is better for people with smaller calves as it is easier on the feet.","kitten_heel",-2
"P1",22,"Female",275,274,"Melissa discovered quite early that she had a good POKER FACE.","poker_face",-3
"P1",22,"Female",276,275,"TUNNEL VISION can also be considered as a symptom of glaucoma.","tunnel_vision",-1
"P1",22,"Female",277,276,"He has a SHORT FUSE and when pushed, may become violent.","short_fuse",2
"P1",22,"Female",278,277,"Greensations makes a variety of anti-aging products that target EYE BAGS and dark circles.","eye_bags",2
